City,Country,Population (2025)
Kabanjahe,Indonesia,91803.03873
Phùng,Vietnam,118558.9163
Bukit Sentosa,Malaysia,61740.05096
Jongju,North Korea,200379.0762
Sokcho,South Korea,71648.16006
Ô-á-liâu / Kezihliao,Taiwan,121525.7604
Kurume,Japan,175770.6648
Tarlac City,Philippines,198264.4629
Kuytun,China,116459.5527
Taungup,Myanmar,70047.52695
Suphan Buri,Thailand,89153.15516
Berastagi,Indonesia,60117.00453
Quốc Oai,Vietnam,109654.6872
Putrajaya,Malaysia,109245.0835
Taechon,North Korea,79121.96544
Wonju,South Korea,218040.8651
Kaohsiung,Taiwan,2294771.919
Ube,Japan,135055.5168
Bamban,Philippines,62803.80957
Dushanzi,China,52694.22437
Kyaukpadaung,Myanmar,71804.05645
Chumphon,Thailand,60255.18163
Lubuk Pakam,Indonesia,82884.25523
Hanoi,Vietnam,4965520
Kampung Rinching Hulu,Malaysia,73031.33373
Unsan,North Korea,79226.49106
Gunsan-si,South Korea,177646.505
Pingtung City,Taiwan,168476.7096
Muroran,Japan,94643.53658
Angeles,Philippines,1513047.47
Kuqa,China,158060.2285
Myingyan,Myanmar,127336.8229
Nakhon Pathom,Thailand,185770.9105
Sibolga,Indonesia,71382.17315
Đông Anh,Vietnam,295748.4363
Seremban,Malaysia,402053.085
Unjon,North Korea,95306.06364
Cheongju-si,South Korea,691161.3489
Yilan City,Taiwan,76045.02929
Yame,Japan,65723.74197
Floridablanca,Philippines,83923.76066
Karakash,China,66753.78554
Magway,Myanmar,130500.5525
Phetchaburi,Thailand,84638.84517
Pandan,Indonesia,84495.87501
Viên An,Vietnam,82380.90109
Kota Bharu,Malaysia,420612.7065
Dong-an,North Korea,67198.79267
Chungju-si,South Korea,98241.69079
Luodong,Taiwan,74847.49076
Yamaguchi,Japan,83340.42366
Orani,Philippines,148769.3366
Hotan,China,216546.4006
Shwegu,Myanmar,72144.75104
Ban Phaeo,Thailand,144651.001
Perbaungan,Indonesia,66037.14823
Đại Nghĩa,Vietnam,79652.8672
Malacca City,Malaysia,544035.188
전평동,North Korea,72022.61359
Daejeon,South Korea,1504228.783
Hualien,Taiwan,137532.6526
Tomakomai,Japan,139137.2441
Bayombong,Philippines,84948.22381
Shihezi,China,396592.2642
Myitkyina,Myanmar,375202.7822
Bangkok,Thailand,19048031.94
Tarutung,Indonesia,54107.2011
