City,Country,Population,Census Date
Bellefonte,USA,15588,4/1/20
Belle Fourche,USA,5089,4/1/20
Belle Glade,USA,23009,4/1/20
Belle Plaine,USA,7061,4/1/20
Bellevue,USA,8400,4/1/20
Bellingham,USA,128979,4/1/20
Bellows Falls,USA,3978,4/1/20
Beloit,USA,63073,4/1/20
Belterra,USA,8075,4/1/20
Belton,USA,5301,4/1/20
Bemidji,USA,14849,4/1/20
Bend,USA,106988,4/1/20
Bennettsville,USA,9075,4/1/20
Bennington,USA,13759,4/1/20
Benson,USA,3830,4/1/20
Benton,USA,7491,4/1/20
Benton,USA,4691,4/1/20
Benton,USA,5591,4/1/20
Benton Harbor - Lincoln - St. Joseph,USA,61888,4/1/20
Berea,USA,16158,4/1/20
Berlin,USA,9658,4/1/20
Berlin,USA,5289,4/1/20
Berryville,USA,5057,4/1/20
Bethel,USA,5097,4/1/20
Beverly Hills - Homosassa Springs - Pine Ridge,USA,96729,4/1/20
Big Bear,USA,16498,4/1/20
Big Lake,USA,11868,4/1/20
Big Pine Key,USA,8441,4/1/20
Big Rapids,USA,10136,4/1/20
Big Spring,USA,28955,4/1/20
Big Stone Gap,USA,6915,4/1/20
Billings,USA,128787,4/1/20
Binghamton,USA,155942,4/1/20
Birch Bay,USA,15833,4/1/20
Birdsboro - Amity,USA,16999,4/1/20
Birmingham,USA,774956,4/1/20
Bisbee,USA,4637,4/1/20
Bishop,USA,11013,4/1/20
Bismarck,USA,98198,4/1/20
Blackfoot,USA,14231,4/1/20
Black River Falls,USA,4415,4/1/20
Blacksburg - Christiansburg,USA,72400,4/1/20
Blackwell,USA,6017,4/1/20
Blair,USA,8001,4/1/20
Blairsville,USA,6156,4/1/20
Bloomfield,USA,7841,4/1/20
Bloomington,USA,110103,4/1/20
Bloomington - Normal,USA,134100,4/1/20
Bloomsburg - Berwick,USA,39212,4/1/20
Blowing Rock,USA,1412,4/1/20
Bluefield,USA,40750,4/1/20
Bluffton,USA,10346,4/1/20
Bluffton East - Hilton Head Island,USA,71824,4/1/20
Bluffton West ( Sun City Hilton Head ),USA,31096,4/1/20
Blythe,USA,11780,4/1/20
Blytheville,USA,15873,4/1/20
Boerne,USA,18320,4/1/20
Bogalusa,USA,11019,4/1/20
Boise City,USA,433180,4/1/20
Bolivar,USA,10324,4/1/20
Bolivar,USA,5281,4/1/20
Bonham,USA,7799,4/1/20
Bonita Springs - Estero,USA,425675,4/1/20
Bonne Terre,USA,6696,4/1/20
Boone,USA,12357,4/1/20
Boone,USA,26306,4/1/20
Booneville,USA,6438,4/1/20
