City,Country,Population,Census Date
Fairmont,USA,8387,4/1/20
Fairmont,USA,31694,4/1/20
Falcon,USA,21348,4/1/20
Falfurrias,USA,4497,4/1/20
Fallbrook,USA,41305,4/1/20
Fallon,USA,16753,4/1/20
Falls City,USA,4133,4/1/20
Fargo,USA,216214,4/1/20
Faribault,USA,24013,4/1/20
Farmington,USA,32804,4/1/20
Farmington,USA,51763,4/1/20
Farmville,USA,4380,4/1/20
Farmville,USA,7916,4/1/20
Fayetteville,USA,325008,4/1/20
Fayetteville,USA,10120,4/1/20
Fayetteville - Springdale - Rogers,USA,373687,4/1/20
Fenton,USA,38156,4/1/20
Fergus Falls,USA,13116,4/1/20
Fernandina Beach - Yulee,USA,50805,4/1/20
Fernley,USA,19233,4/1/20
Ferriday,USA,5169,4/1/20
Fillmore,USA,16397,4/1/20
Findlay,USA,48144,4/1/20
Firebaugh,USA,8117,4/1/20
Fire Island,USA,998,4/1/20
Firestone - Frederick,USA,35447,4/1/20
Fitzgerald,USA,11281,4/1/20
Flagstaff,USA,79842,4/1/20
Flemington - Raritan,USA,24401,4/1/20
Flint,USA,298964,4/1/20
Flora,USA,4793,4/1/20
Florence,USA,78925,4/1/20
Florence,USA,11477,4/1/20
Florence,USA,89436,4/1/20
Florence East,USA,14049,4/1/20
Florence West,USA,11636,4/1/20
Floresville,USA,6313,4/1/20
Foley - Gulf Shores,USA,40920,4/1/20
Fond du Lac,USA,54731,4/1/20
Fontana-on-Geneva Lake ( - Walworth ),USA,10466,4/1/20
Forest City - Spindale,USA,20760,4/1/20
Forest Lake,USA,21882,4/1/20
Forney,USA,41112,4/1/20
Forrest City,USA,8557,4/1/20
Forsyth,USA,4852,4/1/20
Forsyth,USA,7423,4/1/20
Fort Atkinson,USA,13852,4/1/20
Fort Bragg,USA,10668,4/1/20
Fort Collins,USA,326332,4/1/20
Fort Dodge,USA,24699,4/1/20
Fort Irwin,USA,8096,4/1/20
Fort Leonard Wood - St. Robert - Waynesville,USA,31672,4/1/20
Fort Lupton,USA,7856,4/1/20
Fort Madison,USA,10278,4/1/20
Fort Meade,USA,4874,4/1/20
Fort Morgan,USA,13473,4/1/20
Fort Payne,USA,8380,4/1/20
Fort Polk South,USA,9983,4/1/20
Fort Rucker - Daleville,USA,7157,4/1/20
Fort Scott,USA,7439,4/1/20
Fort Smith,USA,125811,4/1/20
Fort Stockton,USA,8551,4/1/20
Fortuna,USA,12784,4/1/20
Fort Valley,USA,9704,4/1/20
Fort Wayne,USA,335934,4/1/20
Fostoria,USA,14295,4/1/20
Four Corners,USA,92396,4/1/20
Frankenmuth,USA,5045,4/1/20
Frankfort,USA,16775,4/1/20
Frankfort,USA,37844,4/1/20
Frankfort,USA,2603,4/1/20
Franklin,USA,11597,4/1/20
Franklin,USA,9491,4/1/20
Franklin,USA,6659,4/1/20
Franklin,USA,9358,4/1/20
Franklin,USA,8500,4/1/20
Franklin,USA,8749,4/1/20
Fraser,USA,3178,4/1/20
Frederick,USA,176456,4/1/20
Fredericksburg,USA,11641,4/1/20
Fredericksburg,USA,167679,4/1/20
Fredericktown,USA,4986,4/1/20
Freeland,USA,7412,4/1/20
Freeland,USA,5754,4/1/20
Freeland,USA,7907,4/1/20
Freeport,USA,24135,4/1/20
Fremont,USA,5165,4/1/20
Fremont,USA,28292,4/1/20
Fremont,USA,22175,4/1/20
Fresno,USA,717589,4/1/20
Friday Harbor,USA,3542,4/1/20
Frisco,USA,3463,4/1/20
Front Royal,USA,16193,4/1/20
Frostproof,USA,8092,4/1/20
Fulton,USA,4256,4/1/20
Fulton,USA,12479,4/1/20
Fulton,USA,12788,4/1/20
Gadsden,USA,57975,4/1/20
Gaffney,USA,19042,4/1/20
Gainesville,USA,213748,4/1/20
Gainesville,USA,265218,4/1/20
Gainesville,USA,16544,4/1/20
Galax,USA,6767,4/1/20
Galesburg,USA,33847,4/1/20
Galion,USA,11364,4/1/20
Galliano - Larose - Cut Off,USA,20056,4/1/20
Gallup,USA,24448,4/1/20
Galt,USA,26618,4/1/20
Galveston - Texas City,USA,191863,4/1/20
Garden City,USA,30976,4/1/20
Gardnerville,USA,21338,4/1/20
Gastonia,USA,176897,4/1/20
Gatesville,USA,15565,4/1/20
Gaylord - Bagley,USA,8476,4/1/20
Geneseo,USA,6435,4/1/20
Geneseo,USA,8025,4/1/20
Geneva,USA,29572,4/1/20
Geneva,USA,7355,4/1/20
Genoa,USA,5484,4/1/20
Georgetown,USA,9921,4/1/20
Georgetown,USA,38912,4/1/20
Georgetown,USA,11364,4/1/20
Germantown,USA,5577,4/1/20
Gettysburg - Cumberland ( - Bonneauville ),USA,14733,4/1/20
Gillespie,USA,5037,4/1/20
Gillette,USA,34422,4/1/20
Gilmer,USA,5084,4/1/20
Gilroy - Morgan Hill,USA,114833,4/1/20
Glasgow,USA,14849,4/1/20
Glencoe,USA,5738,4/1/20
Glendive,USA,6675,4/1/20
Glens Falls,USA,71191,4/1/20
Glenwood,USA,5009,4/1/20
Glenwood,USA,4202,4/1/20
Glenwood Springs,USA,10889,4/1/20
Globe,USA,12620,4/1/20
Gloversville,USA,26286,4/1/20
Gold Canyon,USA,9590,4/1/20
Goldsboro,USA,54456,4/1/20
Gonzales,USA,8682,4/1/20
Gonzales,USA,6953,4/1/20
Goodland,USA,4439,4/1/20
Goodyear South ( Estrella ),USA,16042,4/1/20
Governors Club,USA,4967,4/1/20
Grafton,USA,4824,4/1/20
Grafton - Port Washington - Cedarburg,USA,44086,4/1/20
Graham,USA,8585,4/1/20
Granbury,USA,29706,4/1/20
Grand Forks,USA,68160,4/1/20
Grand Island,USA,55099,4/1/20
Grand Junction,USA,135973,4/1/20
Grand Lake,USA,1801,4/1/20
Grand Rapids,USA,605666,4/1/20
Grand Rapids,USA,10348,4/1/20
Grandview,USA,11187,4/1/20
Granite Falls,USA,6349,4/1/20
Grants,USA,9972,4/1/20
Grants Pass,USA,55724,4/1/20
Grantsville,USA,9598,4/1/20
Grass Valley,USA,36720,4/1/20
Grayson,USA,5418,4/1/20
Great Bend,USA,14766,4/1/20
Great Falls,USA,67097,4/1/20
Greeley,USA,137222,4/1/20
Green Bay,USA,224156,4/1/20
Greencastle,USA,10190,4/1/20
Greendale - Lawrenceburg - Hidden Valley,USA,20087,4/1/20
Greeneville,USA,22919,4/1/20
Greenfield,USA,18858,4/1/20
Greenfield,USA,22294,4/1/20
Greenfield,USA,4771,4/1/20
Green River,USA,11873,4/1/20
Greensboro,USA,338928,4/1/20
Greensburg,USA,12529,4/1/20
Green Valley,USA,37315,4/1/20
Greenville,USA,5823,4/1/20
Greenville,USA,6765,4/1/20
Greenville,USA,5516,4/1/20
Greenville,USA,10265,4/1/20
Greenville,USA,29267,4/1/20
Greenville,USA,120150,4/1/20
Greenville,USA,12983,4/1/20
Greenville,USA,10553,4/1/20
Greenville,USA,387271,4/1/20
Greenville,USA,27054,4/1/20
Greenwood,USA,9077,4/1/20
Greenwood,USA,19475,4/1/20
Greenwood,USA,41998,4/1/20
Grenada,USA,10276,4/1/20
Gridley,USA,8653,4/1/20
Griffin,USA,38311,4/1/20
Grinnell,USA,9486,4/1/20
Grissom AFB,USA,6856,4/1/20
Grove,USA,7934,4/1/20
Grove City,USA,9830,4/1/20
Guadalupe,USA,8046,4/1/20
Gulfport - Biloxi,USA,236344,4/1/20
Gun Barrel City,USA,18309,4/1/20
Gunnison,USA,7228,4/1/20
Gustine,USA,6128,4/1/20
Guthrie,USA,9312,4/1/20
Guymon,USA,12516,4/1/20
Gypsum,USA,8841,4/1/20
Hagerstown,USA,197557,4/1/20
Hailey,USA,12035,4/1/20
Half Moon Bay,USA,21688,4/1/20
Hamburg - Vernon - Highland Lakes ( - Franklin ),USA,28250,4/1/20
Hamilton,USA,6870,4/1/20
Hammond,USA,72526,4/1/20
Hammonton,USA,12086,4/1/20
Hampshire,USA,5699,4/1/20
Hampstead,USA,23340,4/1/20
Hampstead - Manchester,USA,14542,4/1/20
Hanford,USA,66638,4/1/20
Hannibal,USA,17672,4/1/20
Hanover,USA,56712,4/1/20
Harlan,USA,4713,4/1/20
Harlan,USA,6147,4/1/20
Harlingen,USA,118838,4/1/20
Harriman - Kingston - Rockwood,USA,22348,4/1/20
Harrington,USA,4943,4/1/20
Harrisburg,USA,8283,4/1/20
Harrisburg,USA,490859,4/1/20
Harrisburg,USA,6663,4/1/20
Harrison,USA,13950,4/1/20
Harrison,USA,15007,4/1/20
Harrisonburg,USA,73377,4/1/20
Harrisonville,USA,9423,4/1/20
Harrodsburg,USA,9791,4/1/20
Hartford,USA,977158,4/1/20
Hartford,USA,23757,4/1/20
Hartford City,USA,6135,4/1/20
Hartselle,USA,15596,4/1/20
Hartsville,USA,13946,4/1/20
Hartwell,USA,5963,4/1/20
Harvard,USA,9376,4/1/20
Hastings,USA,8041,4/1/20
Hastings,USA,21635,4/1/20
Hastings,USA,24807,4/1/20
Hattiesburg,USA,80821,4/1/20
Havelock,USA,17101,4/1/20
Havre,USA,9826,4/1/20
Hayes ( Harrison ),USA,3796,4/1/20
Hays,USA,21880,4/1/20
Hazard,USA,7808,4/1/20
Hazlehurst,USA,4917,4/1/20
Hazleton,USA,50860,4/1/20
Heartland,USA,9841,4/1/20
Heber,USA,25059,4/1/20
Heber-Overgaard,USA,3573,4/1/20
Heber Springs,USA,6743,4/1/20
Helena,USA,52380,4/1/20
Helena-West Helena,USA,8599,4/1/20
Hemet,USA,173194,4/1/20
Hempstead,USA,4890,4/1/20
Henderson,USA,28430,4/1/20
Henderson,USA,19894,4/1/20
Henderson,USA,5906,4/1/20
Henderson,USA,14924,4/1/20
Henryetta,USA,6207,4/1/20
Hereford,USA,15520,4/1/20
Hermiston,USA,28938,4/1/20
Hibbing,USA,12035,4/1/20
Hickory,USA,201511,4/1/20
Hidden Meadows,USA,4884,4/1/20
Higgins Lake,USA,2145,4/1/20
Higginsville,USA,4551,4/1/20
Highland,USA,10267,4/1/20
High Point,USA,167830,4/1/20
Hillsboro,USA,6880,4/1/20
Hillsboro,USA,6613,4/1/20
Hillsboro,USA,8068,4/1/20
Hillsborough,USA,15800,4/1/20
Hillsdale,USA,10642,4/1/20
Hilo,USA,41410,4/1/20
Hilton,USA,8057,4/1/20
Hinesville,USA,53107,4/1/20
Hobbs,USA,44157,4/1/20
Holden Beach,USA,8687,4/1/20
Holdenville,USA,4264,4/1/20
Holdrege,USA,5454,4/1/20
Holland,USA,107034,4/1/20
Hollister,USA,49611,4/1/20
Holly,USA,8934,4/1/20
Holly Springs,USA,5559,4/1/20
Holts Summit,USA,5184,4/1/20
Holtville,USA,6230,4/1/20
Hondo,USA,6006,4/1/20
Honesdale,USA,5404,4/1/20
Honolulu,USA,853252,4/1/20
Hood River,USA,16171,4/1/20
Hoopeston,USA,4812,4/1/20
Hope,USA,8855,4/1/20
Hopkinsville,USA,31696,4/1/20
Hornell,USA,10566,4/1/20
Hornsby Bend,USA,11337,4/1/20
Horse Cave,USA,4262,4/1/20
Horseshoe Bay,USA,5583,4/1/20
Hot Springs,USA,59133,4/1/20
Hot Springs Village,USA,12755,4/1/20
Houghton - Hancock,USA,15358,4/1/20
Houghton Lake,USA,8521,4/1/20
Houlton,USA,4281,4/1/20
Houma,USA,145482,4/1/20
Houston,USA,5853575,4/1/20
Hudson,USA,10610,4/1/20
Hudson,USA,23743,4/1/20
Hugo,USA,4992,4/1/20
Humboldt,USA,5339,4/1/20
Humboldt,USA,7160,4/1/20
Huntingburg,USA,6117,4/1/20
Huntingdon,USA,11311,4/1/20
Huntington,USA,17555,4/1/20
Huntington,USA,200157,4/1/20
Huntsville,USA,329066,4/1/20
Huntsville,USA,43415,4/1/20
Huntsville Southeast,USA,20165,4/1/20
Huron,USA,6129,4/1/20
Huron,USA,14294,4/1/20
Hurricane,USA,19370,4/1/20
Hutchinson,USA,42475,4/1/20
Hutchinson,USA,14670,4/1/20
Idabel,USA,5523,4/1/20
Idaho Falls,USA,105132,4/1/20
Ilion - Herkimer,USA,22267,4/1/20
Immokalee,USA,23485,4/1/20
Incline Village,USA,19441,4/1/20
Independence,USA,6057,4/1/20
Independence,USA,8477,4/1/20
Indianapolis,USA,1699881,4/1/20
Indiana - White,USA,27693,4/1/20
Indian Head,USA,5556,4/1/20
Indianola,USA,15344,4/1/20
Indianola,USA,9341,4/1/20
Indiantown,USA,5496,4/1/20
Indio - Palm Desert - Palm Springs,USA,361075,4/1/20
Inman,USA,13269,4/1/20
International Falls,USA,6575,4/1/20
Iola,USA,5845,4/1/20
Ione,USA,4673,4/1/20
Ionia,USA,15168,4/1/20
Iowa City,USA,126810,4/1/20
Iowa Falls,USA,5058,4/1/20
Iowa Park,USA,6454,4/1/20
Ipswich,USA,9380,4/1/20
Iron Mountain - Kingsford,USA,18336,4/1/20
Ironwood,USA,7181,4/1/20
Irvine,USA,4029,4/1/20
Isanti,USA,6621,4/1/20
Ishpeming,USA,11298,4/1/20
Ithaca,USA,59102,4/1/20
Jackson,USA,7781,4/1/20
Jackson,USA,5697,4/1/20
Jackson,USA,84307,4/1/20
Jackson,USA,347693,4/1/20
Jackson,USA,72809,4/1/20
Jackson,USA,7962,4/1/20
Jackson,USA,10760,4/1/20
Jacksonville,USA,1247374,4/1/20
Jacksonville,USA,21003,4/1/20
Jacksonville,USA,111224,4/1/20
Jacksonville,USA,13881,4/1/20
Jackson - Wellston,USA,6749,4/1/20
Jamestown,USA,44424,4/1/20
Jamestown,USA,15207,4/1/20
Janesville,USA,72285,4/1/20
Jasper,USA,13274,4/1/20
Jasper,USA,6384,4/1/20
Jasper,USA,16749,4/1/20
Jasper,USA,7000,4/1/20
Jeanerette,USA,5325,4/1/20
Jefferson,USA,11842,4/1/20
Jefferson,USA,7566,4/1/20
Jefferson City,USA,50775,4/1/20
Jennings,USA,9378,4/1/20
Jerome,USA,12405,4/1/20
Jersey Shore,USA,10009,4/1/20
Jerseyville,USA,8641,4/1/20
Jesup,USA,12772,4/1/20
Jewett City,USA,4706,4/1/20
Johnson City,USA,128519,4/1/20
Johnson Lane,USA,5268,4/1/20
Johnstown,USA,19773,4/1/20
Johnstown,USA,5449,4/1/20
Johnstown,USA,61521,4/1/20
Jonesboro,USA,73781,4/1/20
Jonesboro,USA,5245,4/1/20
Joplin,USA,86679,4/1/20
Jordan,USA,6648,4/1/20
Joshua Tree,USA,4370,4/1/20
Junction City,USA,40723,4/1/20
Junction City,USA,7312,4/1/20
Juneau,USA,24756,4/1/20
Kahului - Wailuku,USA,57905,4/1/20
Kailua - Holualoa ( in: Hawaii County ),USA,33024,4/1/20
Kailua - Kaneohe ( in: Honolulu County ),USA,118092,4/1/20
Kalamazoo,USA,204562,4/1/20
Kalispell,USA,36131,4/1/20
Kankakee,USA,66530,4/1/20
Kansas City,USA,1674218,4/1/20
Kapaa,USA,18212,4/1/20
Kaplan,USA,4656,4/1/20
Kasson,USA,7649,4/1/20
Kaufman,USA,6127,4/1/20
Kearney,USA,10174,4/1/20
Kearney,USA,34526,4/1/20
Keene,USA,22687,4/1/20
Kekaha,USA,5724,4/1/20
Kenai,USA,8642,4/1/20
Kendallville,USA,10587,4/1/20
Kennett,USA,10560,4/1/20
Kennewick - Richland - Pasco,USA,255401,4/1/20
Kenosha,USA,125865,4/1/20
Kenton,USA,8033,4/1/20
Keokuk,USA,12351,4/1/20
Kerman,USA,16002,4/1/20
Kermit,USA,6381,4/1/20
Kerrville,USA,31844,4/1/20
Ketchikan,USA,11975,4/1/20
Ketchum,USA,6346,4/1/20
Kewanee,USA,12542,4/1/20
Key Largo,USA,21687,4/1/20
Keyser,USA,6328,4/1/20
Keystone Heights,USA,8218,4/1/20
Key West,USA,32146,4/1/20
Kihei,USA,26878,4/1/20
Kilgore,USA,16719,4/1/20
Kill Devil Hills - Nags Head,USA,23851,4/1/20
Killeen,USA,257222,4/1/20
Kimberling City,USA,4467,4/1/20
King City,USA,13760,4/1/20
Kingman,USA,46953,4/1/20
Kingsburg,USA,12602,4/1/20
Kingsland,USA,8093,4/1/20
Kingsland - St. Marys,USA,38567,4/1/20
Kings Mountain,USA,12619,4/1/20
Kingsport,USA,98411,4/1/20
Kingston,USA,50254,4/1/20
Kingstree,USA,5250,4/1/20
Kingsville,USA,24945,4/1/20
Kinross ( Kincheloe ),USA,5100,4/1/20
Kinston,USA,21050,4/1/20
Kirksville,USA,16846,4/1/20
Kirtland,USA,5737,4/1/20
Kiryas Joel,USA,71582,4/1/20
Kissimmee - St. Cloud,USA,418404,4/1/20
Kittanning - Ford City,USA,14605,4/1/20
Klamath Falls - Altamont,USA,43208,4/1/20
Knoxville,USA,7561,4/1/20
Knoxville,USA,597257,4/1/20
Kodiak - Mill Bay,USA,9530,4/1/20
Kokomo,USA,62576,4/1/20
Kosciusko,USA,6716,4/1/20
Krum,USA,5876,4/1/20
Kuna,USA,23565,4/1/20
Kutztown,USA,8672,4/1/20
LaBelle,USA,13053,4/1/20
Laconia,USA,27267,4/1/20
La Crosse,USA,98872,4/1/20
LaFayette,USA,6772,4/1/20
Lafayette,USA,157100,4/1/20
Lafayette,USA,227316,4/1/20
Lafayette,USA,6174,4/1/20
Lafayette - Erie - Louisville,USA,96485,4/1/20
La Follette,USA,20114,4/1/20
Lago Vista,USA,8463,4/1/20
La Grande,USA,14954,4/1/20
LaGrange,USA,35420,4/1/20
La Grange,USA,24556,4/1/20
La Grange,USA,5020,4/1/20
Lahaina - Napili-Honokowai,USA,21398,4/1/20
Laie - Hauula,USA,12488,4/1/20
La Junta,USA,7792,4/1/20
Lake Bryant,USA,3632,4/1/20
Lake Charles,USA,162501,4/1/20
Lake City,USA,25334,4/1/20
Lake City,USA,4912,4/1/20
Lake City,USA,6915,4/1/20
Lake Conroe Eastshore,USA,12188,4/1/20
Lake Conroe Westshore,USA,29322,4/1/20
Lake Delton,USA,6546,4/1/20
Lake Erie Beach,USA,7643,4/1/20
Lake Geneva,USA,10955,4/1/20
Lake Havasu City,USA,59017,4/1/20
Lake Holiday,USA,7313,4/1/20
Lake Isabella,USA,3698,4/1/20
Lake Jackson,USA,56054,4/1/20
Lakeland,USA,277915,4/1/20
Lake Mills,USA,6857,4/1/20
Lake Mohawk,USA,13164,4/1/20
Lake Monticello,USA,9825,4/1/20
Lake of the Pines,USA,4261,4/1/20
Lake of the Woods,USA,10902,4/1/20
Lake Placid,USA,17816,4/1/20
Lake Placid,USA,3486,4/1/20
Lake Pocotopaug,USA,7622,4/1/20
Lakeport,USA,8994,4/1/20
Lake Royale,USA,2942,4/1/20
Lakes of the Four Seasons,USA,13113,4/1/20
Lamar,USA,7502,4/1/20
Lambertville,USA,10167,4/1/20
Lamesa,USA,8731,4/1/20
Lamont,USA,15271,4/1/20
Lampasas,USA,6674,4/1/20
Lancaster,USA,43576,4/1/20
Lancaster,USA,22709,4/1/20
Lancaster - Manheim,USA,394530,4/1/20
Lander,USA,6977,4/1/20
Landrum - Tryon,USA,4518,4/1/20
Lansing,USA,318300,4/1/20
Lapeer,USA,12402,4/1/20
LaPlace - Lutcher - Gramercy,USA,48681,4/1/20
La Plata,USA,10536,4/1/20
Laramie,USA,32261,4/1/20
Laredo,USA,251462,4/1/20
Larned,USA,3734,4/1/20
Las Cruces,USA,139338,4/1/20
Las Vegas,USA,14530,4/1/20
Las Vegas - Henderson - Paradise,USA,2196623,4/1/20
Laughlin,USA,6579,4/1/20
Laurel,USA,25201,4/1/20
Laurel,USA,8789,4/1/20
Laurens,USA,11331,4/1/20
Laurinburg,USA,16225,4/1/20
Lawrence,USA,94998,4/1/20
Lawrenceburg,USA,13543,4/1/20
Lawrenceburg,USA,11679,4/1/20
Lawrenceville,USA,4632,4/1/20
Lawton,USA,87464,4/1/20
Lead,USA,4122,4/1/20
Leadville,USA,4538,4/1/20
Leavenworth,USA,47570,4/1/20
Lebanon,USA,16466,4/1/20
Lebanon,USA,6209,4/1/20
Lebanon,USA,14710,4/1/20
Lebanon,USA,30299,4/1/20
Lebanon,USA,22327,4/1/20
Lebanon,USA,75485,4/1/20
Lebanon,USA,36678,4/1/20
Lee,USA,8119,4/1/20
Leesburg - Eustis - Tavares,USA,151523,4/1/20
Lee's Summit,USA,91960,4/1/20
Leesville,USA,8328,4/1/20
Lehighton - Palmerton - Jim Thorpe,USA,18503,4/1/20
Leisuretowne,USA,5294,4/1/20
Leitchfield,USA,6488,4/1/20
Le Mars,USA,10138,4/1/20
Lemoore,USA,26957,4/1/20
Lemoore Station,USA,6568,4/1/20
Leominster - Fitchburg,USA,111790,4/1/20
Leonardtown,USA,6092,4/1/20
Le Roy,USA,4645,4/1/20
Levelland,USA,12601,4/1/20
Lewes - Rehoboth Beach,USA,39681,4/1/20
Lewisburg,USA,11934,4/1/20
Lewisburg,USA,7227,4/1/20
Lewiston,USA,54798,4/1/20
Lewiston,USA,60743,4/1/20
Lewistown,USA,6024,4/1/20
Lewistown,USA,20999,4/1/20
Lexington,USA,10438,4/1/20
Lexington,USA,6357,4/1/20
Lexington,USA,9460,4/1/20
Lexington-Fayette,USA,315631,4/1/20
Lexington Park - California - Chesapeake Ranch Estates,USA,62352,4/1/20
Libby,USA,4341,4/1/20
Liberal,USA,19843,4/1/20
Liberty,USA,5284,4/1/20
Liberty,USA,6387,4/1/20
Lihue,USA,15885,4/1/20
Lima,USA,68630,4/1/20
Lincoln,USA,13990,4/1/20
Lincoln,USA,291217,4/1/20
Lincoln,USA,2005,4/1/20
Lincoln Beach,USA,3626,4/1/20
Lincoln City,USA,10494,4/1/20
Lincolnton,USA,22657,4/1/20
Lindale - Hideaway,USA,11770,4/1/20
Lindsay,USA,13942,4/1/20
Lindstrom - Chisago City,USA,9152,4/1/20
Linton,USA,5298,4/1/20
Litchfield,USA,6350,4/1/20
Litchfield,USA,6569,4/1/20
Litchfield Beach ( - Pawleys Island ),USA,15225,4/1/20
Little Falls,USA,9411,4/1/20
Little Falls,USA,4597,4/1/20
Littlefield,USA,5626,4/1/20
Little Rock,USA,461864,4/1/20
Littlestown,USA,6442,4/1/20
Live Oak,USA,9080,4/1/20
Live Oak,USA,6668,4/1/20
Livermore - Pleasanton - Dublin,USA,240381,4/1/20
Livingston,USA,14255,4/1/20
Livingston,USA,9350,4/1/20
Livingston,USA,5592,4/1/20
Lockhart,USA,12886,4/1/20
Lock Haven,USA,14625,4/1/20
Lockport,USA,35958,4/1/20
Lodi,USA,73090,4/1/20
Logan,USA,8209,4/1/20
Logan,USA,113927,4/1/20
Logan,USA,8821,4/1/20
Logansport,USA,20374,4/1/20
Lompoc,USA,54287,4/1/20
London,USA,10259,4/1/20
London - Corbin,USA,36861,4/1/20
Long Beach,USA,3252,4/1/20
Longmont,USA,100776,4/1/20
Long Neck,USA,20169,4/1/20
Longview,USA,107099,4/1/20
Longview,USA,69841,4/1/20
Lorain - Elyria,USA,199067,4/1/20
Los Alamos,USA,13283,4/1/20
Los Angeles - Long Beach - Anaheim,USA,12237376,4/1/20
Los Banos,USA,45533,4/1/20
Los Lunas,USA,53365,4/1/20
Los Osos,USA,13978,4/1/20
Louisa,USA,4582,4/1/20
Louisville ( Jefferson County ),USA,974397,4/1/20
Lovington,USA,11765,4/1/20
Lowell,USA,10747,4/1/20
Lowell,USA,7530,4/1/20
Lubbock,USA,272280,4/1/20
Ludington,USA,11883,4/1/20
Lufkin,USA,41551,4/1/20
Luling,USA,5391,4/1/20
Lumberton,USA,22256,4/1/20
Luray,USA,4742,4/1/20
Luverne,USA,4808,4/1/20
Lynchburg,USA,125596,4/1/20
Lynden,USA,15995,4/1/20
Macclenny,USA,10881,4/1/20
Macomb,USA,15656,4/1/20
Macon,USA,140111,4/1/20
Macon,USA,5359,4/1/20
Madera,USA,81635,4/1/20
Madison,USA,4709,4/1/20
Madison,USA,17447,4/1/20
Madison,USA,6169,4/1/20
Madison,USA,450305,4/1/20
Madisonville,USA,21328,4/1/20
Madisonville,USA,6070,4/1/20
Madras,USA,8087,4/1/20
Magalia,USA,6900,4/1/20
Magnolia,USA,10403,4/1/20
Mahanoy City,USA,3720,4/1/20
Mahomet,USA,11922,4/1/20
Malone,USA,6885,4/1/20
Malvern,USA,8833,4/1/20
Mammoth Lakes,USA,7045,4/1/20
Manchester,USA,4913,4/1/20
Manchester,USA,163289,4/1/20
Manchester,USA,12953,4/1/20
Mandeville - Covington,USA,113763,4/1/20
Manhattan,USA,7826,4/1/20
Manhattan,USA,60454,4/1/20
Manistee,USA,8093,4/1/20
Manitowoc,USA,46558,4/1/20
Mankato,USA,60206,4/1/20
Manning,USA,4522,4/1/20
Manor,USA,17006,4/1/20
Mansfield,USA,5602,4/1/20
Mansfield,USA,73545,4/1/20
Manteca,USA,86674,4/1/20
Manteno,USA,10437,4/1/20
Manteo,USA,6070,4/1/20
Maquoketa,USA,6098,4/1/20
Marana,USA,10618,4/1/20
Marathon,USA,9733,4/1/20
Marble Falls,USA,7953,4/1/20
Marengo,USA,7509,4/1/20
Marianna,USA,5560,4/1/20
Maricopa,USA,57771,4/1/20
Marietta,USA,21723,4/1/20
Marinette - Menominee ( incl. Peshtigo ),USA,23551,4/1/20
Marion,USA,40961,4/1/20
Marion,USA,12031,4/1/20
Marion,USA,42688,4/1/20
Marion,USA,7009,4/1/20
Marion,USA,7281,4/1/20
Marion - Herrin,USA,39391,4/1/20
Marion Oaks,USA,19077,4/1/20
Marksville,USA,6682,4/1/20
Marlin,USA,5396,4/1/20
Marquette,USA,24682,4/1/20
Marseilles,USA,4660,4/1/20
Marshall,USA,7471,4/1/20
Marshall,USA,13508,4/1/20
Marshall,USA,13471,4/1/20
Marshall,USA,21387,4/1/20
Marshalltown,USA,27381,4/1/20
Marshfield,USA,7537,4/1/20
Marshfield,USA,19462,4/1/20
Martin,USA,10518,4/1/20
Martinsville,USA,12556,4/1/20
Martinsville,USA,31273,4/1/20
Marysville,USA,25674,4/1/20
Marysville,USA,160440,4/1/20
Maryville,USA,11212,4/1/20
Mascoutah,USA,8528,4/1/20
Mason City,USA,25954,4/1/20
Massena,USA,10582,4/1/20
Mathis,USA,5253,4/1/20
Mattawan,USA,5721,4/1/20
Mattoon,USA,17111,4/1/20
Mauldin - Simpsonville,USA,159506,4/1/20
Mayfield,USA,12256,4/1/20
Mayodan,USA,4627,4/1/20
Maysville,USA,9799,4/1/20
Maytown - Marietta,USA,7737,4/1/20
Mayville,USA,5189,4/1/20
McAlester,USA,19542,4/1/20
McAllen,USA,779553,4/1/20
McCall,USA,3695,4/1/20
McComb,USA,15327,4/1/20
McCook,USA,7395,4/1/20
McFarland,USA,14149,4/1/20
McGregor,USA,5139,4/1/20
McHenry Northwest - Wonder Lake,USA,5758,4/1/20
McKenzie,USA,5360,4/1/20
McKinleyville,USA,14981,4/1/20
McKinney - Frisco,USA,504803,4/1/20
McMinnville,USA,41831,4/1/20
McMinnville,USA,15711,4/1/20
McPherson,USA,14039,4/1/20
Meadville,USA,20652,4/1/20
Mecca,USA,6875,4/1/20
Mechanicville,USA,11799,4/1/20
Medford,USA,171640,4/1/20
Medford,USA,4114,4/1/20
Medina,USA,6279,4/1/20
Medina,USA,46109,4/1/20
Melissa - Anna,USA,34516,4/1/20
Memphis,USA,1056190,4/1/20
Mena,USA,5534,4/1/20
Mendota,USA,13382,4/1/20
Mendota,USA,6918,4/1/20
Menomonie,USA,17022,4/1/20
Merced,USA,150052,4/1/20
Meredith,USA,3411,4/1/20
Meridian,USA,33809,4/1/20
Merrill,USA,9519,4/1/20
Mesquite,USA,19206,4/1/20
Metropolis,USA,5925,4/1/20
Mexia,USA,6661,4/1/20
Mexico,USA,11351,4/1/20
Miami,USA,15348,4/1/20
Miami - Fort Lauderdale,USA,6077522,4/1/20
Michigan City - La Porte,USA,71367,4/1/20
Middlebury,USA,6154,4/1/20
Middleport,USA,5814,4/1/20
