prov_id,names,owner,population,year,victory_points
15432,Mount Isa,AUS,21514,2011,
1410,Nhulunbuy,AUS,3267,2021,
1472,Biloela,AUS,5808,2011,
1478,Townsville,AUS,167561,2011,
1514,Katherene,AUS,5980,2021,
1667,Albury,AUS,84195,2011,
2116,Central Coast,AUS,319519,2011,
5207,Kununurra,AUS,4515,2021,
7450,Coffs Harbour,AUS,66689,2011,
7481,Sunshine Coast,AUS,96778,2025,
7535,Nambour,AUS,16251,2011,
7538,Sydney Airport,AUS,,,2
7859,Canberra,AUS,55458,2025,
8249,Mildura,AUS,48505,2011,
12323,Carnarvon,AUS,4162,2025,
12424,Moranbah,AUS,8624,2011,
12451,Goondiwindi,AUS,5511,2011,
12993,Melbourne Airport,AUS,,,1
13169,Perth International Airport,AUS,,,1
1536,Shirvan; Şirvan,AZJ,100905,2025,
1610,Agdzhabedi; Agjabedi; Ağcabədi,AZJ,39200,2011,
2186,Gazakh; Qazax,AZJ,2100,2011,
4458,Khachmaz; Xaçmaz,AZJ,66906,2025,
4614,Shamakhy; Shemaka; Şamaxı,AZJ,54196,2025,
6997,Nakhchivan; Nakhchyvan; Nakhch’yvan; Naxçıvan,AZJ,175331,2025,
7661,Baku; Bakı,AZJ,1973054,2025,
10473,Heydar Aliyev International Airport; Heydər Əliyev Adına Beynəlxalq Hava Limanı; Mezhdunarodnyy Aeroport Baku,AZJ,,,1
11645,Mingechaur; Mingechevir; Mingəçevir,AZJ,129064,2025,
11674,Gandzha; Ganja; Gəncə,AZJ,399696,2025,
12434,Cəlilabad; Dzhalil'abad; Jalilabad,AZJ,69331,2025,
12926,Sumgayt; Sumqayit; Sumqayıt,AZJ,637053,2025,
11968,Cumilla; Kumillā,BAN,74332,2025,
15794,Gazipur; Gājīpur,BAN,84943,2025,
12423,Sunamganj; Sunāmgañj,BAN,248062,2025,
4162,Faridpur,BAN,326743,2025,
12010,Feni; Phenī,BAN,396626,2025,
10389,Dinajpur; Dinājpur,BAN,400029,2025,
15795,Tangail; Ṭāṅgāil,BAN,403296,2025,
7124,Kushtia; Kuṣṭiẏā,BAN,407149,2025,
10035,Barishal; Bariśāl,BAN,432532,2025,
2843,Jashore; Yaśor,BAN,552981,2025,
15781,Rangpur; Raṁpura,BAN,611287,2025,
10443,Baguṛā; Bogura,BAN,650822,2025,
15785,Maẏmansiṁh; Mymensingh,BAN,677660,2025,
7662,Chapai Nawabganj; Cāṁpāi Nabābgañj,BAN,785704,2025,
15782,Rajshahi; Rājśāhī,BAN,805560,2025,
11929,Narayanganj; Nārāẏaṇgañj,BAN,709381,2011,
15783,Khulna; Khulnā,BAN,1081072,2025,
15784,Sileṭa; Sylhet,BAN,1206965,2025,
15786,Caṭṭagrām; Chittagong,BAN,5175717,2025,
15792,Dhaka; Ḍhākā,BAN,37307160,2025,
15790,Hayarata Śāhjālāla Āntarjātika Bimānabandara; Hazrat Shahjalal International Airport,BAN,,,2
10254,Nassau,BHA,261235,2025,
13313,Al-Manāmah; Manama,BHR,1361833,2025,
8010,Thimphu,BHU,114551,2017,
3488,Eupen,BLG,18878,2011,
11407,Bastenaken; Bastogne,BLG,18224,2011,
14057,Waterloo,BLG,29666,2011,
6560,Bruges; Brugge,BLG,67047,2025,
9574,Genk,BLG,64986,2011,
6598,Saint-Nicholas; Sint-Niklaas,BLG,72365,2011,
9536,Bergen; Mons,BLG,92523,2011,
13081,Charleroi,BLG,222465,2025,
14061,Gand; Gent; Ghent,BLG,250379,2025,
14064,Liège; Luik; Lüttich,BLG,373662,2025,
14058,Antwerp; Antwerpen; Anvers,BLG,767652,2025,
516,Brussel; Brussels; Bruxelles,BLG,1468754,2025,
14056,Aéroport de Bruxelles; Brussels Airport; Luchthaven Brussel,BLG,,,3
11230,Kastsyukovichy; Kostyukovichi,BLR,15993,2009,
3378,Bychaŭ; Bykhov,BLR,17031,2009,
9341,Glybokoye; Hlybokaye,BLR,18082,2009,
9342,Dobrush,BLR,18330,2009,
233,Pastavy; Postavy,BLR,19815,2009,
360,Mar'ina Gorka; Maryina Horka,BLR,21446,2009,
6306,Ivatsevichi; Ivatsevichy,BLR,22958,2009,
289,Krichev; Krychaw,BLR,27202,2009,
3556,Luninets,BLR,23608,2009,
9359,Navahrudak; Novogrudok,BLR,29336,2009,
6354,Gorki; Horki,BLR,32777,2009,
386,Asipovichy; Osipovichi,BLR,32543,2009,
11216,Dzerzhinsk; Dzyarzhynsk,BLR,25164,2009,
11391,Smarhoń; Smorgon',BLR,36283,2009,
318,Vawkavysk; Volkovytsk,BLR,44167,2009,
3309,Slonim,BLR,48970,2009,
14146,Slutsk,BLR,61444,2009,
3293,Svetlogorsk; Svietlahorsk,BLR,69995,2009,
6319,Rechitsa; Rečyca,BLR,64731,2009,
11220,Orsha,BLR,70876,2025,
6373,Zhlobin; Žlobin,BLR,75866,2009,
6249,Polatsk; Polotsk,BLR,82547,2009,
294,Barysaw; Borisov,BLR,85274,2025,
277,Maladzyechna; Molodechno,BLR,94282,2009,
6326,Navapolatsk; Novopolotsk,BLR,104080,2009,
11313,Salihorsk; Soligorsk,BLR,102297,2009,
6413,Lida,BLR,97629,2009,
6232,Mazyr; Mozyr',BLR,108792,2009,
560,Pinsk,BLR,130355,2009,
3350,Babruysk; Bobruysk,BLR,177154,2025,
9304,Baranavichy; Baranovichi,BLR,179059,2025,
14153,Mogilev; Mogilyov,BLR,358279,2009,
11241,Vitebsk,BLR,382195,2025,
13206,Grodno; Hrodna,BLR,395330,2025,
3392,Brest,BLR,397637,2025,
9288,Gomel'; Homieĺ,BLR,571257,2025,
11370,Minsk,BLR,2093512,2025,
14147,Nacyjanaĺny Aeraport Minsk; National Airport Minsk; Natsional'nyy Aeroport Minsk,BLR,,,1
2077,Belize City,BLZ,76331,2025,
15945,Bujumbura,BRU,1403419,2025,
6957,Livno,BSH,7927,2013,
11845,Trebinje,BSH,22987,2013,
9591,Doboj,BSH,24349,2013,
6619,Prijedor,BSH,27970,2013,
6614,Bihać,BSH,39690,2013,
606,Bijeljina,BSH,41121,2013,
6799,Tuzla,BSH,55006,2025,
9894,Mostar,BSH,60195,2013,
11572,Zenica,BSH,65296,2025,
11574,Brčko,BSH,66146,2025,
6983,Banja Luka,BSH,90140,2025,
13860,Sarajevo,BSH,235739,2025,
11741,Srebrenica,BSH,2607,2013,
3937,Velingrad,BUL,22602,2011,
893,Smolyan,BUL,30642,2011,
9614,Silistra,BUL,35607,2011,
9771,Vidin,BUL,48071,2011,
878,Kǎrdzhali,BUL,43880,2011,
3819,Gabrovo,BUL,58950,2011,
965,Vratsa,BUL,60692,2011,
6982,Pazardzhik,BUL,71979,2011,
9888,Yambol,BUL,74132,2011,
6842,Veliko Tǎrnovo,BUL,68783,2011,
9862,Khaskovo,BUL,76397,2011,
6857,Blagoevgrad,BUL,70881,2011,
935,Pernik,BUL,80191,2011,
9783,Shumen,BUL,80855,2011,
11597,Bazargic; Dobrich,BUL,91030,2011,
6814,Stara Zagora,BUL,77342,2025,
6967,Sliven,BUL,91620,2011,
9610,Ruse,BUL,83022,2025,
3796,Pleven,BUL,106954,2011,
9919,Burgas,BUL,102154,2025,
15137,Varna,BUL,286140,2025,
15138,Plovdiv,BUL,331578,2025,
15139,Sofia; Sofiya,BUL,1068057,2025,
793,Knezha,BUL,10490,2020,
15140,Mezhdunarodno Letishche Sofiya; Sofia International Airport,BUL,,,1
1788,Estevan,CAN,10845,2011,
3769,Swift Current,CAN,15091,2011,
1873,Steinbach,CAN,15790,2016,
6610,Owen Sound,CAN,22354,2011,
11902,Rouyn-Noranda,CAN,23137,2011,
7304,Truro,CAN,22470,2011,
12145,Brandon,CAN,45624,2011,
12582,Sault Ste. Marie,CAN,51849,2025,
4360,Charlottetown,CAN,44112,2011,
1262,Lethbridge,CAN,63048,2025,
13635,Medicine Hat,CAN,59624,2011,
634,Fredericton,CAN,56663,2011,
12571,Prince George,CAN,62623,2011,
12578,Kelowna,CAN,72915,2025,
12505,St. John's,CAN,75023,2025,
749,Niagra Falls,CAN,75875,2025,
13639,Nanaimo,CAN,78391,2025,
7753,Chilliwack,CAN,67374,2011,
10230,Sherbrooke,CAN,87477,2025,
3605,Kingston,CAN,88900,2025,
1323,Kamloops,CAN,77200,2011,
7899,Thunder Bay,CAN,95251,2011,
9601,Trois-Rivières,CAN,97591,2025,
7893,Saguenay,CAN,104589,2011,
7787,Red Deer,CAN,107275,2025,
4428,Abbotsford,CAN,110036,2025,
13608,Gatineau,CAN,119332,2025,
14003,Halifax,CAN,227622,2025,
12603,Regina,CAN,241949,2025,
14046,Windsor,CAN,244810,2025,
13640,Victoria,CAN,250760,2025,
13614,London,CAN,365269,2025,
13613,Hamilton,CAN,446367,2025,
3778,Ottawa,CAN,604618,2025,
13621,Winnipeg,CAN,752808,2025,
13630,Edmonton,CAN,1144486,2025,
13625,Calgary,CAN,1524649,2025,
13642,Vancouver,CAN,2198107,2025,
13615,Montreal; Montréal,CAN,3221844,2025,
3775,Toronto,CAN,5566382,2025,
4285,St. John,CAN,60459,2011,
9740,Fort Albany,CAN,140,2025,
10174,St. Georges,CAN,24940,2011,
12259,Port Hardy,CAN,3902,2021,
13607,Toronto Pearson International Airport,CAN,,,3
13619,Quebec City; Ville de Québec,CAN,619036,2025,
13627,Calgary International Airport,CAN,,,1
6611,Gospić,CRO,6575,2011,
13252,Čakovec,CRO,15147,2011,
3868,Dubrovnik,CRO,28434,2011,
9611,Varaždin,CRO,38839,2011,
3601,Karlovac,CRO,46833,2011,
9595,Slavonski Brod,CRO,53531,2011,
11735,Pular,CRO,57460,2011,
3943,Zadar,CRO,68048,2025,
6647,Osijek,CRO,69144,2025,
11564,Rijelka,CRO,115636,2025,
13844,Split,CRO,215968,2025,
13846,Zagreb,CRO,643962,2025,
13848,Franjo Tuđman International Airport; Zračna luka Franjo Tuđman Zagreb,CRO,,,1
4600,Pinar del Río,CUB,150119,2025,
7451,Santa Clara,CUB,222229,2025,
4476,Camagüey,CUB,286045,2025,
12347,Holguín,CUB,313757,2025,
15375,Santiago de Cuba,CUB,441985,2025,
15372,Havana; La Habana,CUB,1632772,2025,
15374,Aeropuerto Internacional José Martí; José Martí international Airport,CUB,,,1
7193,Lemesós; Limasol; Limassol,CYP,191161,2025,
15490,Lefkosía; Lefkoşa; Nicosia,CYP,195002,2025,
421,Šumperk,CZE,26737,2011,
9421,Příbram,CZE,33084,2011,
557,Znojmo,CZE,34122,2011,
569,Třebíč,CZE,36998,2011,
6470,Karlovy Vary,CZE,48639,2011,
11556,Jihlava,CZE,50075,2011,
11432,Ústí nad Labem,CZE,59097,2025,
445,Hradec Králové,CZE,68044,2025,
6576,Zlín,CZE,75318,2011,
6562,Olomouc,CZE,82848,2025,
9541,České Budějovice,CZE,83564,2025,
9414,Liberec,CZE,86841,2025,
3583,Ostrava,CZE,150766,2025,
6592,Plzeň,CZE,170322,2011,
3569,Brno,CZE,313582,2025,
11542,Prag; Prague; Praha,CZE,1201278,2025,
14084,Flughafen Prag; Letiště Václava Havla; Václav Havel Airport,CZE,,,1
6361,Rønne,DMK,13904,2011,
3305,Nykøbing Falster,DMK,16464,2011,
394,Hjørring,DMK,24762,2011,
3260,Slagelse,DMK,31979,2011,
13262,Holstebro,DMK,34241,2011,
3341,Herning,DMK,46279,2011,
6393,Roskilde,DMK,47117,2011,
3277,Kolding,DMK,57197,2011,
3206,Randers,DMK,60656,2011,
399,Esbjerg,DMK,71576,2011,
6235,Aalborg,DMK,101029,2025,
15100,Odense,DMK,147088,2025,
15099,Aarhus,DMK,252649,2025,
6287,Copenhagen; København,DMK,1258202,2025,
13003,Tórshavn,DMK,14217,2026,
15090,Sisimiut,DMK,5455,2026,
15091,Nuuk,DMK,20298,2026,
15098,Qaqortoq,DMK,3081,2026,
15102,Copenhagen Airport; Københavns Lufthavn,DMK,,,1
7632,Barahona,DMR,78995,2010,
4598,Puerto Plata,DMR,128131,2025,
7660,La Romana,DMR,248412,2025,
15942,Santiago de los Caballeros,DMR,678296,2025,
15938,Santo Domingo,DMR,4593164,2025,
