City,Country,Population (2025)
Owode,Nigeria,90425.50518
Dosso,Niger,236672.7275
Kumba,Cameroon,304428.2436
Soyo,Angola,401232.6945
Lemba Village,Democratic Republic of the Congo,64055.67016
Moanda,Gabon,125350.04
Mao,Chad,70324.56065
Atlantis,South Africa,75926.36449
Impfondo,Republic of the Congo,360182.6367
Badokwa,Central African Republic,73587.33596
Mahalapye,Botswana,61469.37821
Choma,Zambia,126195.4729
Zvishavane,Zimbabwe,52779.33926
Kayanza,Burundi,124447.918
Kayonza,Rwanda,53237.94025
Arua,Uganda,215725.9256
Malakal,South Sudan,91732.1652
Sumbawanga,Tanzania,184292.8148
Xai-Xai,Mozambique,200271.9537
Salima,Malawi,60567.96734
Kisii,Kenya,190856.9178
Mendi,Ethiopia,117007.0119
Asmara,Eritrea,251979.7984
Luuq لوق,Somalia,56810.69988
Ambovombe,Madagascar,138577.4137
Bambey,Senegal,59471.7285
Fria,Guinea,55494.25271
Makeni,Sierra Leone,212452.4803
Voinjama,Liberia,71959.30948
Ouélessébougou,Mali,52861.45187
San-Pédro,Côte d'Ivoire,273597.655
Fassala,Mauritania,114618.262
Gaoua,Burkina Faso,53779.13915
Tarkwa,Ghana,65593.45074
Lomé,Togo,2498073.763
Comè,Benin,57558.21682
Agbara,Nigeria,219039.4718
Filingué,Niger,60026.45185
Douala,Cameroon,4457861.533
Buco-Zau,Angola,59535.24817
Boma,Democratic Republic of the Congo,190065.2531
Franceville,Gabon,300424.0652
Bongor,Chad,123624.2478
Malmesbury,South Africa,55104.44617
Bétou,Republic of the Congo,349599.6426
Bambari,Central African Republic,66172.96352
Francistown,Botswana,116208.6386
Mumbwa,Zambia,50550.18003
Kadoma,Zimbabwe,88656.31313
Ngozi,Burundi,138142.6239
Koboko,Uganda,87723.61632
Bor,South Sudan,139876.2628
Ibamba,Tanzania,57506.28164
Manica,Mozambique,51796.12479
Blantyre,Malawi,941888.0305
Kakamega,Kenya,125259.1883
Meti Chafi / Tilk u Meti,Ethiopia,66324.19314
Ghinda,Eritrea,165905.6887
Kismayo,Somalia,452404.1172
Saint-Louis,Senegal,263603.0204
Kindia,Guinea,197263.877
Magburaka,Sierra Leone,77501.21107
Gbarnga,Liberia,77864.88304
Koulikoro,Mali,60806.41479
Séguéla,Côte d'Ivoire,62010.97137
Ouahigouya,Burkina Faso,129505.638
Techiman,Ghana,166351.0354
Atakpamé,Togo,160358.7765
Savalou,Benin,63667.52373
Ilaro,Nigeria,140483.8952
Gaya,Niger,149329.8705
Nkongsamba,Cameroon,164405.5738
N'zeto,Angola,64331.69133
Kinzao,Democratic Republic of the Congo,191358.1202
Dourbali,Chad,63974.35006
Somerset West,South Africa,232390.5489
Bria,Central African Republic,53673.3722
Selebi Phikwe,Botswana,54136.74112
Monze,Zambia,52362.18907
Chegutu,Zimbabwe,73152.38104
Gitega,Burundi,176122.5345
Yumbe,Uganda,68658.52894
Juba,South Sudan,296086.9767
Chato,Tanzania,53099.64604
Catandica,Mozambique,109311.9673
Zomba,Malawi,77471.11519
Kisumu,Kenya,452000.4631
Nedjo,Ethiopia,75735.59832
Jamame,Somalia,100184.646
Tolanaro,Madagascar,50851.30354
Fatick,Senegal,64861.15138
Labé,Guinea,245719.2091
Bo,Sierra Leone,376731.1691
Ganta,Liberia,72447.49004
Bougouni,Mali,83460.35046
Soubré,Côte d'Ivoire,160765.5623
Koudougou,Burkina Faso,165240.0511
Takoradi,Ghana,1255808.568
Sokodé,Togo,184962.2224
Bohicon,Benin,278594.3707
Aiyetoro,Nigeria,74897.82162
Dogondoutchi,Niger,128991.7575
Kribi,Cameroon,127946.8813
Luanda,Angola,11672133.85
Matadi,Democratic Republic of the Congo,415703.9417
Kelo,Chad,127284.0264
Stellenbosch,South Africa,96052.04384
Mazabuka,Zambia,76006.75458
Chinhoyi,Zimbabwe,100652.2773
Kirundo,Burundi,52050.78764
Hoima,Uganda,76892.50598
Bukoba,Tanzania,155944.8882
Nimule,South Sudan,665398.4615
Chimoio,Mozambique,519720.7068
Mangochi,Malawi,67587.88186
Kitale,Kenya,182451.2779
Tepi,Ethiopia,141621.9349
Dekemhare,Eritrea,62982.29961
Borama,Somalia,343917.8415
Ambatolahy II,Madagascar,120769.7343
Ziguinchor,Senegal,288803.6113
Mamou,Guinea,80758.78551
Yogomaia,Sierra Leone,50538.89735
Pleebo,Liberia,62321.58639
Fana,Mali,70906.64189
Issia,Côte d'Ivoire,74298.43691
Yako,Burkina Faso,54965.2178
Dunkwa-on-Offin,Ghana,60944.50244
Notsé,Togo,95842.32803
Whydah,Benin,134852.1815
Isale,Nigeria,83248.64074
Tahoua,Niger,369904.5451
Dschang,Cameroon,63235.96644
Benguela,Angola,510265.5735
Luozi,Democratic Republic of the Congo,53120.53052
Moundou,Chad,257316.0425
Paarl,South Africa,244652.8874
Chingola,Zambia,268785.8725
Masvingo,Zimbabwe,118739.9571
Muyinga,Burundi,102770.6307
Mubende,Uganda,66598.40209
Ushirombo,Tanzania,69899.9125
Magwi,South Sudan,73581.34209
Gondola,Mozambique,57039.91993
Eldoret,Kenya,439306.5233
Massawa,Eritrea,369309.8604
Jilib,Somalia,104059.3653
Mahajanga,Madagascar,220110.4313
Bignona,Senegal,82776.49342
Kenema,Sierra Leone,262149.4505
Faranah,Guinea,102561.0153
Méagui,Côte d'Ivoire,116228.8474
Ségou,Mali,286478.2584
Leo,Burkina Faso,59608.83169
Kumasi,Ghana,4923114.703
Kara,Togo,169198.5186
Tindji,Benin,61140.92587
Lagos,Nigeria,12846045.23
Illela,Niger,74897.47766
Wum,Cameroon,64815.77934
Lubango,Angola,1331212.795
Kimpese,Democratic Republic of the Congo,111119.7172
Laï,Chad,66572.39806
Worcester,South Africa,86647.78919
Chililabombwe,Zambia,99789.27984
Norton,Zimbabwe,94189.04427
Giteranyi,Burundi,58168.74806
Masindi,Uganda,52075.81988
Katoro,Tanzania,163721.6358
Renk,South Sudan,97082.93991
Tete,Mozambique,470793.518
Kericho,Kenya,55990.05095
Metu,Ethiopia,79503.55378
Assab,Eritrea,65827.76652
Antsirabe,Madagascar,54133.52371
Diourbel,Senegal,220539.7198
Koidu Town,Sierra Leone,149267.5815
Guéckédou,Guinea,55437.1354
Vavoua,Côte d'Ivoire,95900.10594
Niono-Socoura,Mali,52115.00901
Sapouy,Burkina Faso,53066.1721
Kintampo,Ghana,110778.6533
Anié,Togo,88877.73014
Allada,Benin,67237.07219
Igangan,Nigeria,65048.51765
Birni N'Konni,Niger,181092.4964
Bamenda,Cameroon,399783.773
Baía,Angola,207326.8459
Lukala,Democratic Republic of the Congo,55312.45858
Moussoro,Chad,128413.6356
Upington,South Africa,74271.87974
Kafue,Zambia,82387.52972
