Name,Status,State,36617,40269,43922
Corydon,Urban Area,Indiana,4071,5506,5696
Coshocton,Urban Area,Ohio,12125,11517,12334
Cottage Grove,Urban Area,Oregon,9652,11007,11826
Cottonwood - Verde Village,Urban Area,Arizona,22135,26650,29121
Covington,Urban Area,Tennessee,,,7320
Covington,Urban Area,Virginia,8478,8430,7745
Coxsackie,Urban Area,New York,,,5384
Craig,Urban Area,Colorado,9613,10021,9650
Crawfordsville,Urban Area,Indiana,16659,18012,17863
Crawfordville,Urban Area,Florida,,8342,10124
Creedmoor,Urban Area,North Carolina,,,7482
Crescent City,Urban Area,California,18812,18976,15620
Cresson,Urban Area,Pennsylvania,,,6512
Crestline,Urban Area,Ohio,,,4597
Crestline - Lake Arrowhead,Urban Area,California,21531,22175,22272
Creston,Urban Area,Iowa,7391,7617,7507
Crestview,Urban Area,Florida,21853,32432,46816
Creswell,Urban Area,Oregon,4771,6320,6137
Crete,Urban Area,Nebraska,5960,6948,6959
Crisfield,Urban Area,Maryland,3513,3600,3509
Crockett,Urban Area,Texas,6749,6292,5935
Crookston,Urban Area,Minnesota,8049,7964,7618
Crossett,Urban Area,Arkansas,9241,7835,7184
Crossville,Urban Area,Tennessee,11206,16337,19949
Crowley,Urban Area,Louisiana,15359,14908,13168
Crozet,Urban Area,Virginia,,5527,9378
Crystal City,Urban Area,Texas,7379,7236,6709
Crystal River,Urban Area,Florida,,4388,7834
Crystal Springs,Urban Area,Mississippi,6329,5269,5057
Cuero,Urban Area,Texas,7498,8099,7619
Cullman,Urban Area,Alabama,15867,18356,21165
Cullowhee,Urban Area,North Carolina,,,9134
Culpeper,Urban Area,Virginia,9530,17778,22563
Cumberland,Urban Area,Maryland / West Virginia / Pennsylvania,52115,51899,46296
Cushing,Urban Area,Oklahoma,8118,6742,6595
Cynthiana,Urban Area,Kentucky,6495,6421,6393
Dade City,Urban Area,Florida,,,20304
Dahlonega,Urban Area,Georgia,3064,4812,6508
Dalhart,Urban Area,Texas,6889,7716,8352
Dallas,Urban Area,Oregon,13030,15340,17625
Dallas - Fort Worth - Arlington,Urban Area,Texas,4189958,5121892,5732354
Dalton,Urban Area,Georgia,,,67830
Danbury,Urban Area,Connecticut / New York,154455,168136,171680
Dansville,Urban Area,New York,4947,5141,4806
Danville,Urban Area,Illinois,,,40044
Danville,Urban Area,Kentucky,17690,18887,19814
Danville,Urban Area,Virginia / North Carolina,50902,49344,46683
Danville - Mahoning,Urban Area,Pennsylvania,,,9771
Davenport,Urban Area,Iowa / Illinois,273975,280051,285211
Davis,Urban Area,California,66022,72794,77034
Dayton,Urban Area,Ohio,,,674046
Dayton,Urban Area,Tennessee,9050,10174,9688
Dayton,Urban Area,Texas,,,6879
Daytona Beach - Palm Coast - Port Orange,Urban Area,Florida,283494,349064,402126
Dayton Northeast,Urban Area,Nevada,,,6248
Dayton Southwest,Urban Area,Nevada,,,7547
Decatur,Urban Area,Alabama,,,60458
Decatur,Urban Area,Illinois,96454,93863,86287
Decatur,Urban Area,Indiana,10247,10440,10441
Decatur,Urban Area,Texas,5019,5910,6486
Decorah,Urban Area,Iowa,7577,8637,7993
Defiance,Urban Area,Ohio,17243,18306,17775
DeFuniak Springs,Urban Area,Florida,4337,5812,6977
DeKalb,Urban Area,Illinois,55805,68545,64736
Delano,Urban Area,California,,,44410
Delano,Urban Area,Minnesota,,5255,6178
Delavan,Urban Area,Wisconsin,11781,12158,12354
Delhi,Urban Area,California,,,10274
Delphos,Urban Area,Ohio,7403,7440,7266
Del Rio,Urban Area,Texas,40335,43914,42680
Delta,Urban Area,Colorado,6699,7849,8190
Deltona,Urban Area,Florida,147713,182169,210712
Deming,Urban Area,New Mexico,14687,14903,14913
Demopolis,Urban Area,Alabama,6576,6452,6227
Denison,Urban Area,Iowa,7108,8240,8142
Denton,Urban Area,Maryland,3109,4771,5009
Denton - Lewisville,Urban Area,Texas,299823,366174,429461
Denton Southwest,Urban Area,Texas,,3307,14105
Denver - Aurora,Urban Area,Colorado,2039681,2378323,2686147
De Queen,Urban Area,Arkansas,5827,6209,5894
DeRidder,Urban Area,Louisiana,11330,13341,12126
Desert Hot Springs,Urban Area,California,24333,39445,45767
Des Moines,Urban Area,Iowa,370505,450070,542486
De Soto,Urban Area,Missouri,7229,7203,7649
Detroit,Urban Area,Michigan,3907443,3734090,3776890
Detroit Lakes,Urban Area,Minnesota,7315,7973,10234
Devils Lake,Urban Area,North Dakota,7454,7444,7493
DeWitt,Urban Area,Iowa,4864,4639,5162
Dexter,Urban Area,Michigan,,,5285
Dexter,Urban Area,Missouri,8812,9053,9635
Diamondhead,Urban Area,Mississippi,4371,7855,9044
Dickinson,Urban Area,North Dakota,15920,17586,25674
Dickson,Urban Area,Tennessee,13552,16016,16543
Dillon,Urban Area,Montana,4306,4609,4429
Dillon,Urban Area,South Carolina,,,8484
Discovery Bay,Urban Area,California,9087,14044,15939
Dixon,Urban Area,California,16085,18445,18876
Dixon,Urban Area,Illinois,17585,16858,15987
Dodge City,Urban Area,Kansas,26164,27316,27702
Dodgeville,Urban Area,Wisconsin,3931,4756,4898
Donaldsonville,Urban Area,Louisiana,,,12461
Dos Palos,Urban Area,California,6327,6713,7721
Dothan,Urban Area,Alabama,60792,68781,72423
Douglas,Urban Area,Arizona,17225,17673,16582
Douglas,Urban Area,Georgia,12648,14154,14258
Douglas,Urban Area,Michigan,,2570,3259
Douglas,Urban Area,Wyoming,5324,6175,6498
Dover,Urban Area,Delaware,75600,110769,123101
Dover - Rochester,Urban Area,New Hampshire / Maine,,,72391
Dowagiac,Urban Area,Michigan,6302,6082,5896
Dublin,Urban Area,Georgia,19261,20999,20842
DuBois,Urban Area,Pennsylvania,12205,11898,11656
Dubuque,Urban Area,Iowa / Illinois,65251,67818,70332
Duluth,Urban Area,Minnesota / Wisconsin,118265,120378,119411
Dumas,Urban Area,Arkansas,5708,5023,4308
Dumas,Urban Area,Texas,13960,14836,14639
Duncan,Urban Area,Oklahoma,20075,21301,20353
Dundee,Urban Area,Michigan,3738,3799,5252
Dunkirk - Fredonia,Urban Area,New York,25857,25514,23410
Dunn,Urban Area,North Carolina,14591,14823,13707
Du Quoin,Urban Area,Illinois,6729,6467,5933
Durand,Urban Area,Michigan,5697,4854,5056
Durango,Urban Area,Colorado,15349,17982,19114
Durant,Urban Area,Oklahoma,13313,16402,19324
Durham,Urban Area,New Hampshire,,,12117
Durham,Urban Area,North Carolina,287796,350244,396118
Duvall,Urban Area,Washington,,,8165
Dyersburg,Urban Area,Tennessee,,,16790
Eagle,Urban Area,Colorado,3151,6073,7419
Eagle Mountain,Urban Area,Utah,,6277,10269
Eagle Pass,Urban Area,Texas,41829,49236,54083
Earlimart,Urban Area,California,,,7470
East Aurora,Urban Area,New York,,,8765
East Hampton North - Springs - Northwest Harbor,Urban Area,New York,9513,12604,21812
East Liverpool,Urban Area,Ohio / West Virginia / Pennsylvania,,,21126
Eastman,Urban Area,Georgia,5710,6053,6220
Easton,Urban Area,Maryland,12503,17132,18033
East Palestine,Urban Area,Ohio,5165,4944,4634
East Stroudsburg - Stroudsburg,Urban Area,Pennsylvania,,,47891
East Tawas,Urban Area,Michigan,4558,4372,4844
East Troy,Urban Area,Wisconsin,3768,4306,5309
Eaton,Urban Area,Colorado,2837,4392,5823
Eaton,Urban Area,Ohio,7714,8112,8067
Eaton Rapids,Urban Area,Michigan,5825,5408,5076
Eau Claire,Urban Area,Wisconsin,94791,102852,105475
Ebensburg,Urban Area,Pennsylvania,5734,4914,4880
Eden,Urban Area,North Carolina,18536,17187,16323
Edenton,Urban Area,North Carolina,5357,4790,4329
Edgerton,Urban Area,Wisconsin,6496,7208,8360
Edinboro,Urban Area,Pennsylvania,,,5730
Edna,Urban Area,Texas,5868,5374,5910
Edwards - Avon,Urban Area,Colorado,13065,17326,16518
Effingham,Urban Area,Illinois,13995,13800,13990
Elberton,Urban Area,Georgia,6313,5925,5700
Elburn,Urban Area,Illinois,,,6395
El Campo,Urban Area,Texas,11708,11719,13286
El Centro,Urban Area,California,,,74376
Eldersburg,Urban Area,Maryland,,,30486
Eldon,Urban Area,Missouri,5388,4555,4513
El Dorado,Urban Area,Arkansas,22146,18944,18698
El Dorado,Urban Area,Kansas,,,12774
Elgin,Urban Area,Texas,6116,10043,10779
Elizabeth City,Urban Area,North Carolina,19072,23905,22834
Elizabethtown - Radcliff,Urban Area,Kentucky,64504,73467,76441
Elk City,Urban Area,Oklahoma,9818,10855,11124
Elkhart,Urban Area,Indiana / Michigan,131226,143592,148199
Elkhorn,Urban Area,Wisconsin,8204,12484,11876
Elkins,Urban Area,West Virginia,9871,11061,11109
Elko,Urban Area,Nevada,17015,18948,21695
Elkton,Urban Area,Virginia,3100,3657,5032
Ellensburg,Urban Area,Washington,16675,20987,21518
Ellenville,Urban Area,New York,7306,6577,7090
Ellijay,Urban Area,Georgia,3241,3496,6738
Ellwood City,Urban Area,Pennsylvania,,13006,13155
Elmira,Urban Area,New York,67159,67983,62468
El Paso,Urban Area,Texas / New Mexico,674801,803086,854584
El Paso de Robles - Atascadero (Paso Robles),Urban Area,California,54762,65088,67804
El Reno,Urban Area,Oklahoma,14602,15069,14346
Elsa,Urban Area,Texas,,,12984
Elwood,Urban Area,Indiana,10504,9421,9199
Ely,Urban Area,Nevada,4348,4681,4455
Emmett,Urban Area,Idaho,8311,9192,10173
Emporia,Urban Area,Kansas,26876,24830,24082
Emporia,Urban Area,Virginia,9336,7143,6871
Enid,Urban Area,Oklahoma,45654,47609,50194
Ennis,Urban Area,Texas,15731,18258,19763
Enterprise,Urban Area,Alabama,,,31258
Ephraim,Urban Area,Utah,,,5049
Ephrata,Urban Area,Washington,6392,6956,8050
Erie,Urban Area,Pennsylvania,194804,196611,187820
Erwin,Urban Area,Tennessee,,,8678
Escalon,Urban Area,California,6267,7157,7480
Escanaba,Urban Area,Michigan,21032,20850,21159
Española,Urban Area,New Mexico,23272,26418,23931
Estacada,Urban Area,Oregon,3243,3838,5267
Estes Park,Urban Area,Colorado,6483,7082,7907
Estherville,Urban Area,Iowa,6554,6192,5774
Etowah,Urban Area,Tennessee,4887,4129,4513
Eudora,Urban Area,Kansas,4288,6140,6400
Eufaula,Urban Area,Alabama / Georgia,9344,9520,9184
Eugene,Urban Area,Oregon,224049,247421,270179
Eunice,Urban Area,Louisiana,,,10510
Eureka,Urban Area,California,43452,45034,45951
Eureka,Urban Area,Illinois,5211,5573,5401
Eureka,Urban Area,Missouri,17859,11260,14027
Evanston,Urban Area,Wyoming,11558,12017,11416
Evansville,Urban Area,Indiana,,,206855
Evansville,Urban Area,Wisconsin,4186,5669,6321
Evergreen,Urban Area,Colorado,,,10218
Excelsior Springs,Urban Area,Missouri,,,9840
Exeter,Urban Area,California,,,10973
Exeter,Urban Area,New Hampshire,,,16165
Fabens,Urban Area,Texas,7906,8042,7094
Fairbanks (incl. Eielson AFB),Urban Area,Alaska,57635,67457,71396
Fairbury,Urban Area,Nebraska,4307,3912,4011
Fairfield,Urban Area,California,121542,133683,150122
Fairfield,Urban Area,Illinois,5277,5039,4766
Fairfield,Urban Area,Iowa,,,9211
Fairfield Glade,Urban Area,Tennessee,3147,5584,8212
Fairhope - Daphne,Urban Area,Alabama,38110,57383,76807
Fairmont,Urban Area,Minnesota,,,8387
Fairmont,Urban Area,West Virginia,,33409,31694
Falcon,Urban Area,Colorado,,,21348
Falfurrias,Urban Area,Texas,5874,4929,4497
Fallbrook,Urban Area,California,,,41305
Fallon,Urban Area,Nevada,15337,16241,16753
Falls City,Urban Area,Nebraska,4419,4133,4133
Fargo,Urban Area,North Dakota / Minnesota,142477,176676,216214
Faribault,Urban Area,Minnesota,21426,23696,24013
Farmington,Urban Area,Missouri,,,32804
Farmington,Urban Area,New Mexico,,53049,51763
Farmville,Urban Area,North Carolina,3979,4815,4380
Farmville,Urban Area,Virginia,,,7916
Fayetteville,Urban Area,North Carolina,284267,310282,325008
Fayetteville,Urban Area,Tennessee,6678,9178,10120
Fayetteville - Springdale - Rogers,Urban Area,Arkansas / Missouri,184069,295083,373687
Fenton,Urban Area,Michigan,,,38156
Fergus Falls,Urban Area,Minnesota,13013,12081,13116
Fernandina Beach - Yulee,Urban Area,Florida,24023,32773,50805
Fernley,Urban Area,Nevada,7312,18979,19233
Ferriday,Urban Area,Louisiana,4756,5931,5169
Fillmore,Urban Area,California,13631,15081,16397
Findlay,Urban Area,Ohio,45284,48441,48144
Firebaugh,Urban Area,California,6483,7281,8117
Fire Island,Urban Area,New York,,,998
Firestone - Frederick,Urban Area,Colorado,6846,21474,35447
Fitzgerald,Urban Area,Georgia,11242,11638,11281
Flagstaff,Urban Area,Arizona,57050,71957,79842
Flemington - Raritan,Urban Area,New Jersey,,,24401
Flint,Urban Area,Michigan,,,298964
Flora,Urban Area,Illinois,4953,4872,4793
Florence,Urban Area,Alabama,71299,77074,78925
Florence,Urban Area,Oregon,8499,10177,11477
Florence,Urban Area,South Carolina,79380,89557,89436
Florence East,Urban Area,Arizona,,,14049
Florence West,Urban Area,Arizona,,,11636
Floresville,Urban Area,Texas,5551,6068,6313
Foley - Gulf Shores,Urban Area,Alabama,11951,26469,40920
Fond du Lac,Urban Area,Wisconsin,50058,54901,54731
Fontana-on-Geneva Lake (- Walworth),Urban Area,Wisconsin,,,10466
Forest City - Spindale,Urban Area,North Carolina,,,20760
Forest Lake,Urban Area,Minnesota,14867,21816,21882
Forney,Urban Area,Texas,4908,27051,41112
Forrest City,Urban Area,Arkansas,,,8557
Forsyth,Urban Area,Georgia,5276,4834,4852
Forsyth,Urban Area,Missouri,5464,6836,7423
Fort Atkinson,Urban Area,Wisconsin,,,13852
Fort Bragg,Urban Area,California,9325,10348,10668
Fort Collins,Urban Area,Colorado,216886,264465,326332
Fort Dodge,Urban Area,Iowa,25756,25122,24699
Fort Irwin,Urban Area,California,9315,8845,8096
Fort Leonard Wood - St. Robert - Waynesville,Urban Area,Missouri,20943,29257,31672
Fort Lupton,Urban Area,Colorado,,,7856
Fort Madison,Urban Area,Iowa / Illinois,11638,10848,10278
Fort Meade,Urban Area,Florida,,,4874
Fort Morgan,Urban Area,Colorado,13133,13178,13473
Fort Payne,Urban Area,Alabama,7533,7018,8380
Fort Polk South,Urban Area,Louisiana,,,9983
Fort Rucker - Daleville,Urban Area,Alabama,,,7157
Fort Scott,Urban Area,Kansas,7813,7895,7439
Fort Smith,Urban Area,Arkansas / Oklahoma,110501,122947,125811
Fort Stockton,Urban Area,Texas,9924,9339,8551
Fortuna,Urban Area,California,10483,13084,12784
Fort Valley,Urban Area,Georgia,10253,10605,9704
Fort Wayne,Urban Area,Indiana,287759,313492,335934
Fostoria,Urban Area,Ohio,15671,14694,14295
Four Corners,Urban Area,Florida,4478,35549,92396
Frankenmuth,Urban Area,Michigan,4667,4972,5045
Frankfort,Urban Area,Indiana,16810,16684,16775
Frankfort,Urban Area,Kentucky,34961,35734,37844
Frankfort,Urban Area,Michigan,,,2603
Franklin,Urban Area,Kentucky,9193,9442,11597
Franklin,Urban Area,Louisiana,,,9491
Franklin,Urban Area,New Hampshire,,,6659
Franklin,Urban Area,North Carolina,5594,6781,9358
Franklin,Urban Area,Pennsylvania,,,8500
Franklin,Urban Area,Virginia,9041,9209,8749
Fraser,Urban Area,Colorado,,2583,3178
Frederick,Urban Area,Maryland,119144,141576,176456
Fredericksburg,Urban Area,Texas,9804,11511,11641
Fredericksburg,Urban Area,Virginia,97102,141238,167679
Fredericktown,Urban Area,Missouri,4181,4217,4986
Freeland,Urban Area,Michigan,,,7412
Freeland,Urban Area,Pennsylvania,,,5754
Freeland,Urban Area,Washington,,,7907
Freeport,Urban Area,Illinois,27151,25980,24135
Fremont,Urban Area,Michigan,5029,4496,5165
Fremont,Urban Area,Nebraska,25734,27471,28292
Fremont,Urban Area,Ohio,25079,23332,22175
Fresno,Urban Area,California,554923,654628,717589
Friday Harbor,Urban Area,Washington,,,3542
Frisco,Urban Area,Colorado,,,3463
Front Royal,Urban Area,Virginia,,,16193
Frostproof,Urban Area,Florida,5468,7626,8092
Fulton,Urban Area,Kentucky / Tennessee,5694,4339,4256
Fulton,Urban Area,Missouri,11489,12197,12479
Fulton,Urban Area,New York,,,12788
Gadsden,Urban Area,Alabama,61709,64172,57975
Gaffney,Urban Area,South Carolina,20303,20844,19042
Gainesville,Urban Area,Florida,159508,187781,213748
Gainesville,Urban Area,Georgia,88680,130846,265218
Gainesville,Urban Area,Texas,15472,15746,16544
Galax,Urban Area,Virginia,6827,6915,6767
Galesburg,Urban Area,Illinois,37577,36001,33847
Galion,Urban Area,Ohio,,,11364
Galliano - Larose - Cut Off,Urban Area,Louisiana,20611,21437,20056
Gallup,Urban Area,New Mexico,21737,23114,24448
Galt,Urban Area,California,,24912,26618
Galveston - Texas City,Urban Area,Texas,151187,150405,191863
Garden City,Urban Area,Kansas,33142,29942,30976
Gardnerville,Urban Area,Nevada,17341,20107,21338
Gastonia,Urban Area,North Carolina,155129,169495,176897
Gatesville,Urban Area,Texas,15314,15310,15565
Gaylord - Bagley,Urban Area,Michigan,7769,8298,8476
Geneseo,Urban Area,Illinois,6459,6531,6435
Geneseo,Urban Area,New York,7644,8329,8025
Geneva,Urban Area,New York,29304,29990,29572
Geneva,Urban Area,Ohio,,7660,7355
Genoa,Urban Area,Illinois,,,5484
Georgetown,Urban Area,Delaware,6886,9034,9921
Georgetown,Urban Area,Kentucky,19158,30764,38912
Georgetown,Urban Area,South Carolina,12091,12320,11364
Germantown,Urban Area,Ohio,,,5577
Gettysburg - Cumberland (- Bonneauville),Urban Area,Pennsylvania,,,14733
Gillespie,Urban Area,Illinois,5508,5377,5037
Gillette,Urban Area,Wyoming,20560,32721,34422
Gilmer,Urban Area,Texas,4782,4978,5084
Gilroy - Morgan Hill,Urban Area,California,84620,98413,114833
Glasgow,Urban Area,Kentucky,12130,13569,14849
Glencoe,Urban Area,Minnesota,5413,5534,5738
Glendive,Urban Area,Montana,6188,6494,6675
Glens Falls,Urban Area,New York,57627,65443,71191
Glenwood,Urban Area,Iowa,,,5009
Glenwood,Urban Area,Minnesota,,,4202
Glenwood Springs,Urban Area,Colorado,9586,11581,10889
Globe,Urban Area,Arizona,14304,13515,12620
Gloversville,Urban Area,New York,29000,29226,26286
Gold Canyon,Urban Area,Arizona,,,9590
Goldsboro,Urban Area,North Carolina,57915,61054,54456
Gonzales,Urban Area,California,7695,8174,8682
Gonzales,Urban Area,Texas,7014,6877,6953
Goodland,Urban Area,Kansas,4840,4553,4439
Goodyear South (Estrella),Urban Area,Arizona,,11108,16042
Governors Club,Urban Area,North Carolina,,,4967
Grafton,Urban Area,West Virginia,,,4824
Grafton - Port Washington - Cedarburg,Urban Area,Wisconsin,,,44086
Graham,Urban Area,Texas,8816,9041,8585
Granbury,Urban Area,Texas,21623,28250,29706
Grand Forks,Urban Area,North Dakota / Minnesota,56573,61270,68160
Grand Island,Urban Area,Nebraska,45499,50440,55099
Grand Junction,Urban Area,Colorado,98608,128124,135973
Grand Lake,Urban Area,Colorado,,,1801
Grand Rapids,Urban Area,Michigan,539080,569935,605666
Grand Rapids,Urban Area,Minnesota,8525,9285,10348
Grandview,Urban Area,Washington,,,11187
Granite Falls,Urban Area,Washington,,6129,6349
Grants,Urban Area,New Mexico,,,9972
Grants Pass,Urban Area,Oregon,43811,50520,55724
Grantsville,Urban Area,Utah,4516,6673,9598
Grass Valley,Urban Area,California,34019,34308,36720
Grayson,Urban Area,Kentucky,4859,5716,5418
Great Bend,Urban Area,Kansas,15772,16177,14766
Great Falls,Urban Area,Montana,64387,65207,67097
Greeley,Urban Area,Colorado,93879,117825,137222
Green Bay,Urban Area,Wisconsin,187316,206520,224156
Greencastle,Urban Area,Indiana,9921,10625,10190
Greendale - Lawrenceburg - Hidden Valley,Urban Area,Indiana / Ohio,,,20087
Greeneville,Urban Area,Tennessee,19635,23957,22919
Greenfield,Urban Area,California,13220,16451,18858
Greenfield,Urban Area,Massachusetts,23574,22965,22294
Greenfield,Urban Area,Ohio,5472,5100,4771
Green River,Urban Area,Wyoming,11939,12672,11873
Greensboro,Urban Area,North Carolina,267884,311810,338928
Greensburg,Urban Area,Indiana,10416,11560,12529
Green Valley,Urban Area,Arizona,,,37315
Greenville,Urban Area,Alabama,5388,6026,5823
Greenville,Urban Area,Illinois,7039,6976,6765
Greenville,Urban Area,Kentucky,,,5516
Greenville,Urban Area,Michigan,7809,9743,10265
Greenville,Urban Area,Mississippi,,,29267
Greenville,Urban Area,North Carolina,84059,117798,120150
Greenville,Urban Area,Ohio,13676,13337,12983
Greenville,Urban Area,Pennsylvania,9064,10771,10553
Greenville,Urban Area,South Carolina,353781,400492,387271
Greenville,Urban Area,Texas,23422,23283,27054
Greenwood,Urban Area,Arkansas,6756,8619,9077
Greenwood,Urban Area,Mississippi,,,19475
Greenwood,Urban Area,South Carolina,37924,42103,41998
Grenada,Urban Area,Mississippi,12837,10481,10276
Gridley,Urban Area,California,7512,8393,8653
Griffin,Urban Area,Georgia,,,38311
Grinnell,Urban Area,Iowa,9069,9080,9486
Grissom AFB,Urban Area,Indiana,2582,6359,6856
Grove,Urban Area,Oklahoma,5501,7158,7934
Grove City,Urban Area,Pennsylvania,,,9830
Guadalupe,Urban Area,California,5651,7080,8046
Gulfport - Biloxi,Urban Area,Mississippi,205754,208948,236344
Gun Barrel City,Urban Area,Texas,17484,14884,18309
Gunnison,Urban Area,Colorado,6344,6343,7228
Gustine,Urban Area,California,4681,5521,6128
Guthrie,Urban Area,Oklahoma,8243,8191,9312
Guymon,Urban Area,Oklahoma,10461,11338,12516
Gypsum,Urban Area,Colorado,3323,5963,8841
Hagerstown,Urban Area,Maryland / West Virginia / Pennsylvania / Virginia,136919,182696,197557
Hailey,Urban Area,Idaho,8227,10453,12035
Half Moon Bay,Urban Area,California,22037,20713,21688
Hamburg - Vernon - Highland Lakes (- Franklin),Urban Area,New Jersey,,,28250
Hamilton,Urban Area,Montana,6070,6182,6870
Hammond,Urban Area,Louisiana,43458,67629,72526
Hammonton,Urban Area,New Jersey,10183,13152,12086
Hampshire,Urban Area,Illinois,2591,4619,5699
Hampstead,Urban Area,North Carolina,,10716,23340
Hampstead - Manchester,Urban Area,Maryland,,,14542
Hanford,Urban Area,California,,,66638
Hannibal,Urban Area,Missouri,17980,18472,17672
Hanover,Urban Area,Pennsylvania,,,56712
Harlan,Urban Area,Iowa,5091,4934,4713
Harlan,Urban Area,Kentucky,9243,7065,6147
Harlingen,Urban Area,Texas,,,118838
Harriman - Kingston - Rockwood,Urban Area,Tennessee,23035,23515,22348
Harrington,Urban Area,Delaware,3457,4448,4943
Harrisburg,Urban Area,Illinois,,,8283
Harrisburg,Urban Area,Pennsylvania,400477,444474,490859
Harrisburg,Urban Area,South Dakota,,3071,6663
Harrison,Urban Area,Arkansas,12923,13950,13950
Harrison,Urban Area,Ohio / Indiana,,12910,15007
Harrisonburg,Urban Area,Virginia,52647,66784,73377
Harrisonville,Urban Area,Missouri,8486,9358,9423
Harrodsburg,Urban Area,Kentucky,8539,8715,9791
Hartford,Urban Area,Connecticut,872025,924859,977158
Hartford,Urban Area,Wisconsin,,,23757
Hartford City,Urban Area,Indiana,6946,6160,6135
Hartselle,Urban Area,Alabama,,,15596
Hartsville,Urban Area,South Carolina,14907,15125,13946
Hartwell,Urban Area,Georgia,5105,5884,5963
Harvard,Urban Area,Illinois,8575,9940,9376
Hastings,Urban Area,Michigan,8075,7713,8041
Hastings,Urban Area,Minnesota,17888,22328,21635
Hastings,Urban Area,Nebraska,24094,24312,24807
Hattiesburg,Urban Area,Mississippi,61465,80358,80821
Havelock,Urban Area,North Carolina,,,17101
Havre,Urban Area,Montana,10413,9657,9826
Hayes (Harrison),Urban Area,Michigan,3785,3589,3796
Hays,Urban Area,Kansas,20499,21180,21880
Hazard,Urban Area,Kentucky,6492,7444,7808
Hazlehurst,Urban Area,Georgia,4091,4594,4917
Hazleton,Urban Area,Pennsylvania,,,50860
Heartland,Urban Area,Texas,,,9841
Heber,Urban Area,Utah,9792,17212,25059
Heber-Overgaard,Urban Area,Arizona,,,3573
Heber Springs,Urban Area,Arkansas,5684,6357,6743
Helena,Urban Area,Montana,38451,45055,52380
Helena-West Helena,Urban Area,Arkansas,13980,11321,8599
Hemet,Urban Area,California,117200,163379,173194
Hempstead,Urban Area,Texas,,,4890
Henderson,Urban Area,Kentucky,,,28430
Henderson,Urban Area,North Carolina,21246,20858,19894
Henderson,Urban Area,Tennessee,5428,6027,5906
Henderson,Urban Area,Texas,12968,15187,14924
Henryetta,Urban Area,Oklahoma,6934,6562,6207
Hereford,Urban Area,Texas,15301,15941,15520
Hermiston,Urban Area,Oregon,24177,27790,28938
Hibbing,Urban Area,Minnesota,12653,11616,12035
Hickory,Urban Area,North Carolina,187808,215767,201511
Hidden Meadows,Urban Area,California,,,4884
Higgins Lake,Urban Area,Michigan,,,2145
Higginsville,Urban Area,Missouri,4515,4621,4551
Highland,Urban Area,Illinois,,,10267
High Point,Urban Area,North Carolina,132844,166485,167830
Hillsboro,Urban Area,Illinois,5610,7261,6880
Hillsboro,Urban Area,Ohio,6253,6668,6613
Hillsboro,Urban Area,Texas,7933,8328,8068
Hillsborough,Urban Area,North Carolina,,,15800
Hillsdale,Urban Area,Michigan,8901,11646,10642
Hilo,Urban Area,Hawaii,,43925,41410
Hilton,Urban Area,New York,,,8057
Hinesville,Urban Area,Georgia,50360,51456,53107
Hobbs,Urban Area,New Mexico,30783,36696,44157
Holden Beach,Urban Area,North Carolina,2989,3136,8687
Holdenville,Urban Area,Oklahoma,,,4264
Holdrege,Urban Area,Nebraska,5669,5340,5454
Holland,Urban Area,Michigan,91795,99941,107034
Hollister,Urban Area,California,39923,42002,49611
Holly,Urban Area,Michigan,6817,8229,8934
Holly Springs,Urban Area,Mississippi,6708,6160,5559
Holts Summit,Urban Area,Missouri,,,5184
Holtville,Urban Area,California,6727,6876,6230
Hondo,Urban Area,Texas,7463,6427,6006
Honesdale,Urban Area,Pennsylvania,6134,5849,5404
Honolulu,Urban Area,Hawaii,718182,802459,853252
Hood River,Urban Area,Oregon / Washington,12236,14653,16171
Hoopeston,Urban Area,Illinois,5872,5116,4812
Hope,Urban Area,Arkansas,10540,9991,8855
Hopkinsville,Urban Area,Kentucky,31013,32491,31696
Hornell,Urban Area,New York,11196,10997,10566
Hornsby Bend,Urban Area,Texas,,,11337
Horse Cave,Urban Area,Kentucky,3735,4251,4262
Horseshoe Bay,Urban Area,Texas,,3134,5583
Hot Springs,Urban Area,Arkansas,51763,55121,59133
Hot Springs Village,Urban Area,Arkansas,5648,9144,12755
Houghton - Hancock,Urban Area,Michigan,14119,15452,15358
Houghton Lake,Urban Area,Michigan,8477,8300,8521
Houlton,Urban Area,Maine,4178,4128,4281
Houma,Urban Area,Louisiana,125929,144875,145482
Houston,Urban Area,Texas,3855592,4947260,5853575
Hudson,Urban Area,New York,13607,11512,10610
Hudson,Urban Area,Wisconsin / Minnesota,,22395,23743
Hugo,Urban Area,Oklahoma,5442,5028,4992
Humboldt,Urban Area,Iowa,5210,5243,5339
Humboldt,Urban Area,Tennessee,,,7160
Huntingburg,Urban Area,Indiana,5649,5501,6117
Huntingdon,Urban Area,Pennsylvania,10901,11385,11311
Huntington,Urban Area,Indiana,18328,18207,17555
Huntington,Urban Area,West Virginia / Kentucky / Ohio,,202637,200157
Huntsville,Urban Area,Alabama,213253,286692,329066
Huntsville,Urban Area,Texas,33656,36928,43415
Huntsville Southeast,Urban Area,Alabama,,,20165
Huron,Urban Area,California,6306,6754,6129
Huron,Urban Area,South Dakota,11916,12637,14294
Hurricane,Urban Area,Utah,8246,16336,19370
Hutchinson,Urban Area,Kansas,44052,44320,42475
