Name,Status,State,36617,40269,43922
Bakersfield,Urban Area,California,396125,523994,570235
Baltimore,Urban Area,Maryland,2099423,2203663,2212038
Bandon,Urban Area,Oregon,2732,3119,4104
Bangor,Urban Area,Maine,58983,61210,61539
Baraboo,Urban Area,Wisconsin,11780,13759,14201
Barbourville,Urban Area,Kentucky,4941,6300,5998
Bardstown,Urban Area,Kentucky,13794,18702,17682
Barnesville,Urban Area,Georgia,6729,7167,6825
Barnstable Town,Urban Area,Massachusetts,243667,246695,303269
Barre - Montpelier,Urban Area,Vermont,22022,21675,20014
Barstow,Urban Area,California,28234,28973,30522
Bartlesville,Urban Area,Oklahoma,38541,38874,39479
Bartow,Urban Area,Florida,,,16948
Basalt,Urban Area,Colorado,6325,8531,8127
Bastrop,Urban Area,Louisiana,16077,13979,12604
Bastrop,Urban Area,Texas,8631,13371,19384
Batavia,Urban Area,New York,17163,17834,17472
Batesburg-Leesville,Urban Area,South Carolina,5090,5267,4989
Batesville,Urban Area,Arkansas,10578,11513,10913
Batesville,Urban Area,Indiana,6924,7734,7941
Batesville,Urban Area,Mississippi,,,6273
Bath,Urban Area,New York,,,6335
Baton Rouge,Urban Area,Louisiana,497548,594309,631326
Battle Creek,Urban Area,Michigan,79135,78393,75513
Battlement Mesa,Urban Area,Colorado,4256,5071,6311
Baxley,Urban Area,Georgia,5204,5208,5354
Bayard,Urban Area,New Mexico,,4309,4975
Bay City,Urban Area,Michigan,74048,70585,68472
Bay City,Urban Area,Texas,19708,18745,19311
Bay Minette,Urban Area,Alabama,7718,7486,7685
Bayside Gardens - Manzanita,Urban Area,Oregon,,,2849
Bealeton,Urban Area,Virginia,,6621,6608
Beardstown,Urban Area,Illinois,6133,6530,6262
Beatrice,Urban Area,Nebraska,12982,12405,12142
Beaufort - Port Royal,Urban Area,South Carolina,46227,48807,52515
Beaumont,Urban Area,Texas,139304,147922,146649
Beaver Dam,Urban Area,Kentucky,,,5658
Beaver Dam,Urban Area,Wisconsin,16565,17833,18824
Beckley,Urban Area,West Virginia,,,57468
Bedford,Urban Area,Indiana,15582,14977,14432
Bedford,Urban Area,Pennsylvania,4592,4693,4392
Bedford,Urban Area,Virginia,6754,6829,7541
Beebe,Urban Area,Arkansas,4801,6714,7216
Beeville,Urban Area,Texas,,,14230
Bel Air - Aberdeen,Urban Area,Maryland,174598,213751,214647
Belding,Urban Area,Michigan,5911,5789,5611
Belfair,Urban Area,Washington,,3331,5141
Belfast,Urban Area,Maine,3305,3358,3754
Belgrade,Urban Area,Montana,6893,13797,18534
Bellefontaine,Urban Area,Ohio,12941,13235,14024
Bellefonte,Urban Area,Pennsylvania,11241,12888,15588
Belle Fourche,Urban Area,South Dakota,4476,5240,5089
Belle Glade,Urban Area,Florida,24218,24870,23009
Belle Plaine,Urban Area,Minnesota,3616,6174,7061
Bellevue,Urban Area,Ohio,8313,8413,8400
Bellingham,Urban Area,Washington,92639,114473,128979
Bellows Falls,Urban Area,Vermont / New Hampshire,,,3978
