City,Country,Population (2025)
Май-Кудук,Kazakhstan,71774.76673
Qeysar,Afghanistan,115361.5293
Balkh,Tajikistan,60611.70343
Ali Khel,Pakistan,61619.33794
Anjar,India,89662.50753
Simara,Nepal,50738.04998
Badulla,Sri Lanka,71625.09053
Gangachara,Bangladesh,382037.1779
Baneh,Iran,101732.7534
Ekibastuz,Kazakhstan,114479.0972
Koson,Uzbekistan,101305.9177
Andkhoy,Afghanistan,153433.3905
Vakhsh,Tajikistan,75135.90864
Hub,Pakistan,95114.23503
Srinagar,India,1340177.15
Kalaiya,Nepal,56708.59215
Valaichchenai,Sri Lanka,55061.1092
Bodorganj,Bangladesh,54900.97632
Bukan,Iran,166212.1267
Turkestan,Kazakhstan,213680.4872
Payshanba,Uzbekistan,74957.51871
Bai Ghesi,Afghanistan,138024.5845
Батрабат,Tajikistan,78367.38798
Usta Muhammad,Pakistan,69614.49903
Sikka,India,94949.04613
Baidehi,Nepal,98958.64455
Batticaloa,Sri Lanka,139380.1403
Dalauabari,Bangladesh,88131.56063
Ahar,Iran,98430.83957
Po'lati,Uzbekistan,57517.30282
Pavlodar,Kazakhstan,262863.872
Dowlatabad,Afghanistan,56833.04155
Danghara,Tajikistan,54433.78285
Shahdadkot,Pakistan,182157.4055
Porbandar,India,231311.6053
Laukhi,Nepal,60790.45459
Sammanturai,Sri Lanka,55365.72873
Rajshahi,Bangladesh,805559.7922
Saqqez,Iran,139018.0339
Kattakurgan,Uzbekistan,148079.1148
Koh-i-Sayad,Afghanistan,132414.2278
Jetisay,Kazakhstan,61506.76618
Isfara,Tajikistan,74925.61498
Dera Murad Jamali,Pakistan,56216.04548
Gandhidham,India,307941.2195
Inaruwa,Nepal,270224.9176
Kalmunai,Sri Lanka,114303.3508
Kakina,Bangladesh,74033.30946
Marivan,Iran,122177.7757
Qarshi,Uzbekistan,512027.1313
Shymkent,Kazakhstan,1239662.754
Farkhor,Tajikistan,58922.89599
Motikhavdi,India,63459.13272
Biratnagar,Nepal,987896.8087
Akkaraipattu,Sri Lanka,94394.38423
Birampur,Bangladesh,70598.47694
Parsabad,Iran,83878.48335
Juma,Uzbekistan,206928.2981
Maymana,Afghanistan,118617.4487
Sarıağaş,Kazakhstan,69929.62458
Kulob,Tajikistan,177691.5101
Zhob,Pakistan,133042.6139
Abhom,India,52243.02768
Birtamod,Nepal,52503.71406
Rangpur,Bangladesh,611286.5341
Meshginshahr,Iran,72665.98577
Samarqand,Uzbekistan,892554.4193
Emam Saheb,Afghanistan,130051.3168
Aqswkent,Kazakhstan,65488.77409
Karachi,Pakistan,21031702.73
Mazgam,India,89069.30226
Durgapur,Bangladesh,74741.85008
جوانرود,Iran,62392.40802
Gʻuzor,Uzbekistan,93543.61762
Sayram,Kazakhstan,71025.91825
Chitral,Pakistan,127949.2483
Pampore,India,198202.0294
Joypurhat,Bangladesh,120904.2623
Tikab,Iran,50621.41988
Shahrisabz,Uzbekistan,283388.1677
Gawaki,Afghanistan,56924.20703
Taraz,Kazakhstan,234774.6848
Khairpur Nathan Shah,Pakistan,99809.18183
Jamnagar,India,676169.1757
Lalmonirhat,Bangladesh,198140.472
Mianeh,Iran,91953.86934
Beshkapa,Uzbekistan,94864.82051
Sheberghan,Afghanistan,172931.8907
Balqaş,Kazakhstan,60602.35544
Johi,Pakistan,101528.0529
Pulwama,India,64186.74845
Naogaon,Bangladesh,330028.3579
Eslamabad-e Gharb,Iran,93156.67675
Urgut,Uzbekistan,111123.6538
Darzab,Afghanistan,65382.64309
Semey,Kazakhstan,291783.2784
Mehar Taluka,Pakistan,146890.3491
Bhachau,India,50939.86802
Baneshwar,Bangladesh,95247.87643
Ilam,Iran,148325.8048
Jizzakh,Uzbekistan,357000.0909
Sayad,Afghanistan,53760.78316
Ust-Kamenogorsk,Kazakhstan,240225.5882
Qambar,Pakistan,160062.6606
Ramnagri,India,74596.59916
Chhaola,Bangladesh,56109.65223
Sareyn,Iran,385386.6327
Sar-e Pol,Afghanistan,119492.5054
Sirdaryo,Uzbekistan,54829.5699
Almaty,Kazakhstan,2315538.314
Nasirabad,Pakistan,53095.03519
Khrew,India,68077.14326
Bagha,Bangladesh,60663.34965
Sanandaj,Iran,309717.698
Tashkent,Uzbekistan,3874652.58
Firozkoh,Afghanistan,229080.3737
Taldykorgan,Kazakhstan,146373.6667
Inayat Killi,Pakistan,199744.3424
Lanckhul,India,176873.026
Meherpur,Bangladesh,93492.67474
Ardabil,Iran,403961.4207
Boysun,Uzbekistan,70152.99245
Dera Allah Yar,Pakistan,74216.66785
Esik,Kazakhstan,53718.58658
Tral,India,97421.30346
হাসানগঞ্জ,Bangladesh,94366.48093
Kamyaran,Iran,50208.85236
Yangiyul,Uzbekistan,89930.69226
Lashkar Gah,Afghanistan,197380.2147
Sita Road,Pakistan,61222.83065
Zharkent,Kazakhstan,54228.78652
Barmer,India,277643.7839
Dupchachia,Bangladesh,57371.36818
Kermanshah,Iran,830106.2171
Sherobod,Uzbekistan,89595.93567
Tukzar,Afghanistan,60555.24152
Dadu,Pakistan,253439.7849
Anantnag,India,273306.3327
Malikbeg,Bangladesh,155675.7241
Gulistan,Uzbekistan,123025.496
Nurrār,Pakistan,100924.3699
Pokaran,India,57943.90773
Shihali,Bangladesh,79717.31593
Talesh,Iran,62697.42972
Tashlak,Uzbekistan,57333.88699
Girishk,Afghanistan,152092.2053
Badah,Pakistan,53018.88734
Devsar,India,131383.0086
Natore,Bangladesh,218158.8249
Zanjan,Iran,364138.8361
Chibintepa,Uzbekistan,67513.94368
Mazar i sharif,Afghanistan,737865.826
Pashat,Pakistan,52187.84945
Upleta,India,83262.08277
Naldanga,Bangladesh,116785.216
Kuhdasht,Iran,114154.5737
Chirchiq,Uzbekistan,82139.34531
Khwaja Iskandar,Afghanistan,60004.60172
Bannu,Pakistan,637353.248
Mangrol,India,68867.22001
Polashbari,Bangladesh,76141.22218
Asadabad,Iran,61973.3764
Angor,Uzbekistan,55417.50156
Mirzay,Afghanistan,55414.75645
Jacobabad,Pakistan,304932.5809
Jammu,India,1160686.685
Kurigram,Bangladesh,174673.7451
Nurabad,Iran,71694.39164
Termez,Uzbekistan,235265.9005
Khar Bajaur,Pakistan,110102.359
R S Pura,India,100215.9018
Sundarganj,Bangladesh,86120.72737
Bandar-e Anzali,Iran,80795.76937
Jarqurgon,Uzbekistan,91503.29495
Landi Kotal,Pakistan,90902.88645
Keshod,India,92831.05441
Bhawaniganj,Bangladesh,88136.43713
Hamedan,Iran,504365.6725
Denov,Uzbekistan,153319.2869
Larkana,Pakistan,633507.4535
Garwel,India,101116.0865
Begunbaria,Bangladesh,72023.94878
Uzun,Uzbekistan,89026.09985
Deh Rawud,Afghanistan,61515.15538
Ratodero,Pakistan,86299.23832
Dhoraji,India,86646.97743
Lalpur,Bangladesh,379617.8892
Rasht,Iran,553733.854
Sho'rchi,Uzbekistan,60656.49277
Samarbagh,Pakistan,138044.647
Phalodi,India,117025.4658
Kuchiamora,Bangladesh,64020.78808
Nahavand,Iran,63516.51768
Almalyk,Uzbekistan,61602.15435
Orlamish,Afghanistan,80665.65691
Wali Khel,Pakistan,68696.58381
Morbi,India,261843.95
Gobindaganj,Bangladesh,92174.92282
Abhar,Iran,66741.41289
Angren,Uzbekistan,72472.28706
Tarinkot,Afghanistan,111318.9933
Sehwan,Pakistan,100002.7726
Junagadh,India,357101.1504
Chilmari,Bangladesh,141473.9712
Chust,Uzbekistan,107229.4983
Dir,Pakistan,77806.67046
Udhampur,India,198368.3181
Pashim Chhaparhati,Bangladesh,80464.47611
Khorramabad,Iran,309198.6249
Pasab,Afghanistan,81547.8069
Qoqand,Uzbekistan,296641.8277
Naudero,Pakistan,65594.19874
Rajkot,India,1553761.769
Gaibandha,Bangladesh,234929.4068
Famenin,Iran,319635.0905
Yaypan,Uzbekistan,59404.63245
Moro,Pakistan,172358.0549
Veraval,India,225353.5492
Bogura,Bangladesh,650821.5857
Malayer,Iran,131903.2611
Kandahar,Afghanistan,872755.3988
Tergachi,Uzbekistan,148722.4402
Tank,Pakistan,77574.82231
Jetpur,India,134687.7291
Bheramara,Bangladesh,99496.38487
Borujerd,Iran,193483.1754
Samangan,Afghanistan,138358.1756
Ibrat,Uzbekistan,126490.2201
Hangu,Pakistan,104085.125
Shapar - Veraval,India,68128.93028
Chuadanga,Bangladesh,156461.7277
Lahijan,Iran,89190.26936
Nao Deh,Afghanistan,169353.4874
Xo'jand,Uzbekistan,92237.3883
Lal Qilla,Pakistan,54708.21791
Wankaner,India,57445.78532
সুখানপুকুর,Bangladesh,187503.3987
Andimeshk,Iran,106153.1986
Imam Sahib,Afghanistan,81667.52917
Turakurgan,Uzbekistan,70304.07214
Naushahro Feroze,Pakistan,67651.5524
Fazilka,India,104116.5041
Sonatala,Bangladesh,53679.79594
Shush,Iran,72697.71996
Kunduz,Afghanistan,264785.346
Shahand,Uzbekistan,70531.15688
Timergara,Pakistan,250551.6745
Gondal,India,143858.2451
Saghatta,Bangladesh,210285.6055
Takestan,Iran,57238.11901
Bamian,Afghanistan,110493.1138
Bagdad,Uzbekistan,65548.59989
Kandiaro,Pakistan,68516.25515
Sri Ganganagar,India,322862.9678
Alamdanga,Bangladesh,83375.95346
Dezful,Iran,225617.9746
Navkent,Uzbekistan,55565.81943
Katen Bala,Pakistan,83624.90638
Sanchore,India,71094.11291
Gabtali,Bangladesh,59468.74669
Hoveyzeh,Iran,74540.42116
Namangan,Uzbekistan,927907.7004
Baghlan,Afghanistan,106130.3232
Shabqadar,Pakistan,454330.5061
Jalalabad,India,77915.29819
Gurudaspur,Bangladesh,107091.4538
Rishtan,Uzbekistan,116352.2041
Puli Khumri,Afghanistan,224936.4272
Serai Naurang,Pakistan,55181.4256
Balotra,India,214504.6179
Sherpur,Bangladesh,175945.6893
Qazvin,Iran,345309.3488
Chortoq,Uzbekistan,99151.52674
خان آباد,Afghanistan,83975.43732
Peshawar,Pakistan,3497358.945
Doda,India,89009.63467
Sariakandi,Bangladesh,151047.9422
